TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
Kansas St.,09/02/2023,Southeast Mo. St.,W 45-0,588,8.28,10,2,4,29:25,71,588,8.28,11,16,1,4,4.00,36,36.00,
Kansas St.,09/09/2023,Troy,W 42-13,397,5.67,15,,10,29:37,70,397,5.67,9,10,1,5,5.00,45,45.00,
Kansas St.,09/16/2023,@ Missouri,L 27-30,408,5.51,17,,8,34:00,74,408,5.51,7,11,1,7,7.00,65,65.00,
Kansas St.,09/23/2023,UCF,W 44-31,536,6.54,15,2,9,34:23,82,536,6.54,12,16,4,5,5.00,63,63.00,
Kansas St.,10/06/2023,@ Oklahoma St.,L 21-29,372,5.17,16,4,6,25:18,72,372,5.17,12,6,,4,4.00,32,32.00,
Kansas St.,10/14/2023,@ Texas Tech,W 38-21,435,6.69,11,1,4,32:27,65,435,6.69,14,8,2,5,5.00,45,45.00,
Kansas St.,10/21/2023,TCU,W 41-3,587,7.53,13,1,10,38:50,78,587,7.53,20,8,1,6,6.00,45,45.00,
Kansas St.,10/28/2023,Houston,W 41-0,394,5.63,14,1,10,34:34,70,394,5.63,14,9,1,1,1.00,5,5.00,
Kansas St.,11/04/2023,@ Texas,L 30-33 (1 OT),357,4.96,13,2,2,27:52,72,357,4.96,3,16,1,7,7.00,50,50.00,
Kansas St.,11/11/2023,Baylor,W 59-25,451,6.35,12,3,4,28:02,71,451,6.35,6,15,1,5,5.00,42,42.00,
Kansas St.,11/18/2023,@ Kansas,W 31-27,331,5.43,15,,8,26:40,61,331,5.43,9,8,3,2,2.00,30,30.00,
Kansas St.,11/25/2023,Iowa St.,L 35-42,497,4.87,23/,4,11,42:12,102,497,4.87,13,14,5,6,6.00,55,55.00,
Kansas St.,12/28/2023,"NC State @Orlando, FL",W 28-19,435,6.13,14,4,4,28:29,71,435,6.13,13,8,1,6,6.00,55,55.00,
