TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
Kansas,09/01/2023,Missouri St.,W 48-17,29,16,6,6,23,45
Kansas,09/08/2023,Illinois,W 34-23,30,20,8,2,32,50
Kansas,09/16/2023,@ Nevada,W 31-24,37,18,9,2,38,55
Kansas,09/23/2023,BYU,W 38-27,41,10,5,4,45,51
Kansas,09/30/2023,@ Texas,L 14-40,54,30,5,2,17,84
Kansas,10/07/2023,UCF,W 51-22,45,6,5,2,42,51
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,57,20,3,2,8,77
Kansas,10/28/2023,Oklahoma,W 38-33,53,22,4,,4,75
Kansas,11/04/2023,@ Iowa St.,W 28-21,31,26,5,4,20,57
Kansas,11/11/2023,Texas Tech,L 13-16,58,6,4,,26,64
Kansas,11/18/2023,Kansas St.,L 27-31,44,,4,,16,44
Kansas,11/25/2023,@ Cincinnati,W 49-16,29,46,,,,75
Kansas,12/26/2023,"UNLV @Phoenix, AZ",W 49-36,40,10,3,,17,50
