TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
Kansas,09/01/2023,Missouri St.,W 48-17,521,7.89,11,2,6,33:47,66,521,7.89,12,13,2,3,3.00,35,35.00,
Kansas,09/08/2023,Illinois,W 34-23,539,7.38,13,1,9,36:39,73,539,7.38,12,12,3,4,4.00,34,34.00,
Kansas,09/16/2023,@ Nevada,W 31-24,441,6.58,11,,7,31:51,67,441,6.58,8,14,2,7,7.00,53,53.00,
Kansas,09/23/2023,BYU,W 38-27,351,6.27,8,1,4,29:55,56,351,6.27,14,8,1,7,7.00,70,70.00,
Kansas,09/30/2023,@ Texas,L 14-40,260,5.65,8,2,,18:27,46,260,5.65,4,6,1,3,3.00,20,20.00,
Kansas,10/07/2023,UCF,W 51-22,490,7.78,9,,6,34:23,63,490,7.78,17,7,1,2,2.00,20,20.00,
Kansas,10/14/2023,@ Oklahoma St.,L 32-39,500,7.94,13,2,7,28:29,63,500,7.94,4,15,,3,3.00,22,22.00,
Kansas,10/28/2023,Oklahoma,W 38-33,443,6.07,14,3,4,31:10,73,443,6.07,10,11,4,5,5.00,55,55.00,
Kansas,11/04/2023,@ Iowa St.,W 28-21,361,6.22,13,1,6,30:27,58,361,6.22,2,11,3,8,8.00,80,80.00,
Kansas,11/11/2023,Texas Tech,L 13-16,344,4.91,15,2,7,28:37,70,344,4.91,10,6,2,4,4.00,31,31.00,
Kansas,11/18/2023,Kansas St.,L 27-31,396,6.95,11,2,5,33:20,57,396,6.95,11,7,1,5,5.00,59,59.00,
Kansas,11/25/2023,@ Cincinnati,W 49-16,562,11.02,7,1,3,27:19,51,562,11.02,11,11,1,4,4.00,45,45.00,
Kansas,12/26/2023,"UNLV @Phoenix, AZ",W 49-36,591,8.82,12,2,6,34:06,67,591,8.82,7,13,2,18/,18.00,216/,216.00,
