TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,48,30,1.0,304,1.0,118.41,30.0,10.133,0.625,304.0,31,149,159,10,4.81,2.0,149.0,17,30,304,30.0,10.13,1.0,304.0,39,453,5.73,15,2.0,6,29:24,79,453,5.73,8,15,1.0,5,5.0,41,41.0,,,304,,25.0,,25.0,503,,64,3.0,3.0,3.0,,,,,,,,2,,27,4.0,2.0,18.0,5.0,42,16,8,2.0,31,58,,5.0,,,5.0,1.0,,,25.0,2,2,,45.0,3.0,5,220,44.0,1.0,60,195,1.0,,,5,321,3.0,2.0,,25.0,215,,4,4,24,2.0,1.0,1.0,1,,,,,,1.0,,2/,1.0,,,1.0
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,32,22,,191,2.0,139.51,22.0,8.682,0.688,191.0,31,113,135,22,3.65,1.0,113.0,34,22,191,22.0,8.68,2.0,191.0,20,304,4.83,16,,8,31:17,63,304,4.83,8,6,2.0,9,9.0,62,62.0,,,191,1.0,,13.0,,317,,55,3.0,3.0,3.0,,,,,,,,2,,27,2.0,2.0,10.0,3.0,30,32,5,6.0,19,62,,1.0,1.0,,2.0,1.0,,,,2,3,,52.0,3.0,5,207,41.4,,54,207,1.0,,13.0,6,388,5.0,,,,241,,4,4,24,1.0,2.0,1.0,1,,,,,,,1.0,,,,1.0,
Oklahoma St.,09/16/2023,South Alabama,L 7-33,35,16,1.0,114,,67.36,16.0,7.125,0.457,114.0,29,94,126,32,3.24,1.0,94.0,21,16,114,16.0,7.13,,114.0,15,208,3.25,15,1.0,4,25:20,64,208,3.25,6,8,,7,7.0,64,64.0,,,114,,,,42.0,250,,48,1.0,1.0,1.0,,,,,,,,,,7,2.0,,23.0,2.0,35,40,2,2.0,25,75,,1.0,,,1.0,1.0,,,,,,,,2.0,9/,381,42.3,,53,372,1.0,,,2,121,,2.0,,42.0,104,,1,1,7,1.0,,,,,,,,,,,,,1.0,,1.0
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,48,23,2.0,278,2.0,101.98,23.0,12.087,0.479,278.0,24,131,151,20,5.46,1.0,131.0,71,23,278,23.0,12.09,2.0,278.0,60,409,5.68,17,3.0,5,25:19,72,409,5.68,6,12,,3,3.0,25,25.0,,,278,,,,,409,,47,3.0,3.0,3.0,,,,,,,,2,,27,,,,,40,28,2,6.0,9,68,,2.0,,,2.0,,,,,2,2,,53.0,1.0,8,344,43.0,,51,329,,,,5,275,2.0,,,,225,,2,2,14,1.0,1.0,,,,,,,,,,,,,,2.0
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,36,20,,238,,111.09,20.0,11.9,0.556,238.0,40,174,189,15,4.35,1.0,174.0,36,20,238,20.0,11.9,,238.0,45,412,5.42,18,2.0,6,34:42,76,412,5.42,7,13,,5,5.0,45,45.0,,48.0,238,3.0,,,48.0,508,,65,2.0,2.0,2.0,,,,,,,,5/,,29,2.0,,8.0,2.0,34,30,4,2.0,13,64,48.0,4.0,3.0,1/,7.0,,,,,5/,6/,1.0,53.0,1.0,3,121,40.3,,43,121,,,,8,491,3.0,2.0,,48.0,401,,5,6,19,1.0,,4.0,5/,,,,,,,3.0,,,,3.0,
Oklahoma St.,10/14/2023,Kansas,W 39-32,41,28,,336,2.0,153.23,28.0,12.0,0.683,336.0,38,218,226,8,5.74,2.0,218.0,42,28,336,28.0,12.0,2.0,336.0,50,554,7.01,15,,6,31:31,79,554,7.01,11,16,,3,3.0,12,12.0,,25.0,336,2.0,,,61.0,640,,72,4.0,3.0,3.0,,,,,1,,,4,,39,3.0,2.0,27.0,4.0,30,32,5,4.0,46,62,25.0,4.0,2.0,,6.0,2.0,,,,4,5,,42.0,2.0,4,148,37.0,,48,148,1.0,,,9,569,6.0,3.0,,61.0,361,,6,6,29,1.0,2.0,3.0,3,,,,,,,2.0,2/,,,2.0,
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,36,24,1.0,210,2.0,128.44,24.0,8.75,0.667,210.0,33,281,299,18,8.52,4.0,281.0,53,24,210,24.0,8.75,2.0,210.0,29,491,7.12,14,,8,27:24,69,491,7.12,9,10,2.0,7,7.0,65,65.0,,16.0,210,1.0,,-2.0,68.0,573,,63,6.0,6.0,6.0,,,,,,,,2,,48,,2.0,3.0,1.0,39,28,7,4.0,15,67,16.0,1.0,1.0,,2.0,1.0,,,,2,3,,37.0,1.0,3,115,38.3,,46,113,1.0,,-2.0,9,585,7.0,4.0,,68.0,391,,5,6,27,2.0,1.0,2.0,3,,,,,,2.0,1.0,,2.0,1.0,1.0,1.0
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,34,17,1.0,286,2.0,134.19,17.0,16.824,0.5,286.0,37,315,331,16,8.51,4.0,315.0,75,17,286,17.0,16.82,2.0,286.0,67,601,8.46,15,1.0,6,29:27,71,601,8.46,10,10,3.0,4,4.0,30,30.0,,16.0,286,1.0,,-4.0,53.0,666,,59,6.0,6.0,6.0,,,,,,,,1,,45,1.0,,9.0,1.0,41,34,5,2.0,17,75,16.0,2.0,1.0,,3.0,1.0,,,,1,3,,28.0,3.0,3,133,44.3,,52,128,2.0,,-4.0,8,494,2.0,2.0,,53.0,424,,4,6,24,2.0,1.0,1.0,2,1/,,,,,1.0,1.0,,1.0,1.0,1.0,1.0
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,43,28,1.0,334,,125.71,28.0,11.929,0.651,334.0,38,147,153,6,3.87,3.0,147.0,35,28,334,28.0,11.93,,334.0,31,481,5.94,15,4.0,5,37:14,81,481,5.94,6,18,3.0,4,4.0,29,29.0,,26.0,334,1.0,,14.0,18.0,539,,69,3.0,3.0,3.0,,,,,,,,2,,27,2.0,,7.0,2.0,40,16,5,,19,56,26.0,2.0,1.0,,3.0,1.0,,,,2,2,,36.0,1.0,4,166,41.5,1.0,47,151,1.0,,14.0,6,384,4.0,1.0,,18.0,254,,5,6,27,3.0,,2.0,2,,,1.0,,,2.0,1.0,,2.0,,1.0,1.0
Oklahoma St.,11/11/2023,@ UCF,L 3-45,39,19,3.0,225,,81.79,19.0,11.842,0.487,225.0,25,52,74,22,2.08,,52.0,18,19,225,19.0,11.84,,225.0,21,277,4.33,12,3.0,2,25:15,64,277,4.33,3,12,,5,5.0,45,45.0,,,225,,,,104.0,381,,47,,,,,,,,,,,1,,3,2.0,,10.0,2.0,38,32,7,2.0,22,70,,1.0,,,1.0,1.0,,,,1,1,,25.0,2.0,6,240,40.0,,45,231,,,,2,129,1.0,3.0,,104.0,104,,1,3,3,,,1.0,1,,1.0,1.0,,,1.0,,,1.0,1.0,,3.0
