TeamNM,Date,Opponent,Result,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,2,2,,45
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,2,3,,52
Oklahoma St.,09/16/2023,South Alabama,L 7-33,,,,
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,2,2,,53
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,5/,6/,1,53
Oklahoma St.,10/14/2023,Kansas,W 39-32,4,5,,42
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,2,3,,37
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,1,3,,28
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,2,2,,36
Oklahoma St.,11/11/2023,@ UCF,L 3-45,1,1,,25
Oklahoma St.,11/18/2023,@ Houston,W 43-30,3,3,,46
Oklahoma St.,11/25/2023,BYU,W 40-34 (2 OT),2,2,,40
Oklahoma St.,12/02/2023,"Texas @Arlington, TX",L 21-49,,,,
Oklahoma St.,12/27/2023,"Texas A&M @Houston, TX",W 31-23,1,2,,19
