TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,5,321,3,2,,25,215,
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,6,388,5,,,,241,
Oklahoma St.,09/16/2023,South Alabama,L 7-33,2,121,,2,,42,104,
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,5,275,2,,,,225,
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,8,491,3,2,,48,401,
Oklahoma St.,10/14/2023,Kansas,W 39-32,9,569,6,3,,61,361,
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,9,585,7,4,,68,391,
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,8,494,2,2,,53,424,
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,6,384,4,1,,18,254,
Oklahoma St.,11/11/2023,@ UCF,L 3-45,2,129,1,3,,104,104,
Oklahoma St.,11/18/2023,@ Houston,W 43-30,9,565,3,3,,75,452,
Oklahoma St.,11/25/2023,BYU,W 40-34 (2 OT),6,368,3,4,,50,274,
Oklahoma St.,12/02/2023,"Texas @Arlington, TX",L 21-49,4,248,1,5,,89,189,
Oklahoma St.,12/27/2023,"Texas A&M @Houston, TX",W 31-23,6,373,3,1,,18,281,
