TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,48,30,1,304,1,118.41,30.00,10.133,0.625,304.00
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,32,22,,191,2,139.51,22.00,8.682,0.688,191.00
Oklahoma St.,09/16/2023,South Alabama,L 7-33,35,16,1,114,,67.36,16.00,7.125,0.457,114.00
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,48,23,2,278,2,101.98,23.00,12.087,0.479,278.00
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,36,20,,238,,111.09,20.00,11.900,0.556,238.00
Oklahoma St.,10/14/2023,Kansas,W 39-32,41,28,,336,2,153.23,28.00,12.000,0.683,336.00
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,36,24,1,210,2,128.44,24.00,8.750,0.667,210.00
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,34,17,1,286,2,134.19,17.00,16.824,0.500,286.00
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,43,28,1,334,,125.71,28.00,11.929,0.651,334.00
Oklahoma St.,11/11/2023,@ UCF,L 3-45,39,19,3,225,,81.79,19.00,11.842,0.487,225.00
Oklahoma St.,11/18/2023,@ Houston,W 43-30,43,29,1,348,2,146.12,29.00,12.000,0.674,348.00
Oklahoma St.,11/25/2023,BYU,W 40-34 (2 OT),47,31,2,321,,114.82,31.00,10.355,0.660,321.00
Oklahoma St.,12/02/2023,"Texas @Arlington, TX",L 21-49,38,22,1,250,3,133.95,22.00,11.364,0.579,250.00
Oklahoma St.,12/27/2023,"Texas A&M @Houston, TX",W 31-23,50,35,2,436,2,148.45,35.00,12.457,0.700,436.00
