TeamNM,Date,Opponent,Result,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,1,,
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,1,,13
Oklahoma St.,09/16/2023,South Alabama,L 7-33,1,,
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,,,
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,,,
Oklahoma St.,10/14/2023,Kansas,W 39-32,1,,
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,1,,-2
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,2,,-4
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,1,,14
Oklahoma St.,11/11/2023,@ UCF,L 3-45,,,
Oklahoma St.,11/18/2023,@ Houston,W 43-30,2,,12
Oklahoma St.,11/25/2023,BYU,W 40-34 (2 OT),,,
Oklahoma St.,12/02/2023,"Texas @Arlington, TX",L 21-49,1,,8
Oklahoma St.,12/27/2023,"Texas A&M @Houston, TX",W 31-23,1,,1
