TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,3,5,220,44.0,1,60,195
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,3,5,207,41.4,,54,207
Oklahoma St.,09/16/2023,South Alabama,L 7-33,2,9/,381,42.3,,53,372
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,1,8,344,43.0,,51,329
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,1,3,121,40.3,,43,121
Oklahoma St.,10/14/2023,Kansas,W 39-32,2,4,148,37.0,,48,148
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,1,3,115,38.3,,46,113
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,3,3,133,44.3,,52,128
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,1,4,166,41.5,1,47,151
Oklahoma St.,11/11/2023,@ UCF,L 3-45,2,6,240,40.0,,45,231
Oklahoma St.,11/18/2023,@ Houston,W 43-30,2,3,142,47.3,1,61,122
Oklahoma St.,11/25/2023,BYU,W 40-34 (2 OT),2,5,205,41.0,,52,207
Oklahoma St.,12/02/2023,"Texas @Arlington, TX",L 21-49,3,5,214,42.8,,54,214
Oklahoma St.,12/27/2023,"Texas A&M @Houston, TX",W 31-23,,3,113,37.7,,45,98
