TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,30,304,30.00,10.13,1,304.00,39
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,22,191,22.00,8.68,2,191.00,20
Oklahoma St.,09/16/2023,South Alabama,L 7-33,16,114,16.00,7.13,,114.00,15
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,23,278,23.00,12.09,2,278.00,60
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,20,238,20.00,11.90,,238.00,45
Oklahoma St.,10/14/2023,Kansas,W 39-32,28,336,28.00,12.00,2,336.00,50
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,24,210,24.00,8.75,2,210.00,29
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,17,286,17.00,16.82,2,286.00,67
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,28,334,28.00,11.93,,334.00,31
Oklahoma St.,11/11/2023,@ UCF,L 3-45,19,225,19.00,11.84,,225.00,21
Oklahoma St.,11/18/2023,@ Houston,W 43-30,29,348,29.00,12.00,2,348.00,36
Oklahoma St.,11/25/2023,BYU,W 40-34 (2 OT),31,321,31.00,10.35,,321.00,26
Oklahoma St.,12/02/2023,"Texas @Arlington, TX",L 21-49,22,250,22.00,11.36,3,250.00,41
Oklahoma St.,12/27/2023,"Texas A&M @Houston, TX",W 31-23,35,436,35.00,12.46,2,436.00,34
