TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,4,4,24,2,1,1,1,,,,,
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,4,4,24,1,2,1,1,,,,,
Oklahoma St.,09/16/2023,South Alabama,L 7-33,1,1,7,1,,,,,,,,
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,2,2,14,1,1,,,,,,,
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,5,6,19,1,,4,5/,,,,,
Oklahoma St.,10/14/2023,Kansas,W 39-32,6,6,29,1,2,3,3,,,,,
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,5,6,27,2,1,2,3,,,,,
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,4,6,24,2,1,1,2,1/,,,,
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,5,6,27,3,,2,2,,,1,,
Oklahoma St.,11/11/2023,@ UCF,L 3-45,1,3,3,,,1,1,,1,1,,
Oklahoma St.,11/18/2023,@ Houston,W 43-30,4,4,24,3,,1,1,,,,,
Oklahoma St.,11/25/2023,BYU,W 40-34 (2 OT),6,6,37,5,,1,1,,,,,
Oklahoma St.,12/02/2023,"Texas @Arlington, TX",L 21-49,3,3,21,,3,,,,,,,
Oklahoma St.,12/27/2023,"Texas A&M @Houston, TX",W 31-23,5,5,31,2,2,1,1,,,,,
