TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,31,149,159,10,4.81,2,149.00,17
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,31,113,135,22,3.65,1,113.00,34
Oklahoma St.,09/16/2023,South Alabama,L 7-33,29,94,126,32,3.24,1,94.00,21
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,24,131,151,20,5.46,1,131.00,71
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,40,174,189,15,4.35,1,174.00,36
Oklahoma St.,10/14/2023,Kansas,W 39-32,38,218,226,8,5.74,2,218.00,42
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,33,281,299,18,8.52,4,281.00,53
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,37,315,331,16,8.51,4,315.00,75
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,38,147,153,6,3.87,3,147.00,35
Oklahoma St.,11/11/2023,@ UCF,L 3-45,25,52,74,22,2.08,,52.00,18
Oklahoma St.,11/18/2023,@ Houston,W 43-30,35,153,178,25,4.37,3,153.00,62
Oklahoma St.,11/25/2023,BYU,W 40-34 (2 OT),41,182,193,11,4.44,5,182.00,23
Oklahoma St.,12/02/2023,"Texas @Arlington, TX",L 21-49,18,31,42,11,1.72,,31.00,9
Oklahoma St.,12/27/2023,"Texas A&M @Houston, TX",W 31-23,29,134,141,7,4.62,2,134.00,25
