TeamNM,Date,Opponent,Result,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,4,2,18,5.0
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,2,2,10,3.0
Oklahoma St.,09/16/2023,South Alabama,L 7-33,2,,23,2.0
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,,,,
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,2,,8,2.0
Oklahoma St.,10/14/2023,Kansas,W 39-32,3,2,27,4.0
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,,2,3,1.0
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,1,,9,1.0
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,2,,7,2.0
Oklahoma St.,11/11/2023,@ UCF,L 3-45,2,,10,2.0
Oklahoma St.,11/18/2023,@ Houston,W 43-30,2,,18,2.0
Oklahoma St.,11/25/2023,BYU,W 40-34 (2 OT),,,,
Oklahoma St.,12/02/2023,"Texas @Arlington, TX",L 21-49,1,,7,1.0
Oklahoma St.,12/27/2023,"Texas A&M @Houston, TX",W 31-23,2,,15,2.0
