TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,3,3,3,,,,,,,,2,,27
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,3,3,3,,,,,,,,2,,27
Oklahoma St.,09/16/2023,South Alabama,L 7-33,1,1,1,,,,,,,,,,7
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,3,3,3,,,,,,,,2,,27
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,2,2,2,,,,,,,,5/,,29
Oklahoma St.,10/14/2023,Kansas,W 39-32,4,3,3,,,,,1,,,4,,39
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,6,6,6,,,,,,,,2,,48
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,6,6,6,,,,,,,,1,,45
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,3,3,3,,,,,,,,2,,27
Oklahoma St.,11/11/2023,@ UCF,L 3-45,,,,,,,,,,,1,,3
Oklahoma St.,11/18/2023,@ Houston,W 43-30,5,4,5,,,,,,,,3,,43
Oklahoma St.,11/25/2023,BYU,W 40-34 (2 OT),5,2,3,,,1,1,2/,,,2,,40
Oklahoma St.,12/02/2023,"Texas @Arlington, TX",L 21-49,3,3,3,,,,,,,,,,21
Oklahoma St.,12/27/2023,"Texas A&M @Houston, TX",W 31-23,4,4,4,,,,,,,,1,,31
