TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,42,16,8,2,31,58
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,30,32,5,6,19,62
Oklahoma St.,09/16/2023,South Alabama,L 7-33,35,40,2,2,25,75
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,40,28,2,6,9,68
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,34,30,4,2,13,64
Oklahoma St.,10/14/2023,Kansas,W 39-32,30,32,5,4,46,62
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,39,28,7,4,15,67
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,41,34,5,2,17,75
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,40,16,5,,19,56
Oklahoma St.,11/11/2023,@ UCF,L 3-45,38,32,7,2,22,70
Oklahoma St.,11/18/2023,@ Houston,W 43-30,38,12,6,,25,50
Oklahoma St.,11/25/2023,BYU,W 40-34 (2 OT),38,16,2,2,6,54
Oklahoma St.,12/02/2023,"Texas @Arlington, TX",L 21-49,49,36,5,2,17,85
Oklahoma St.,12/27/2023,"Texas A&M @Houston, TX",W 31-23,34,18,3,,18,52
