TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,453,5.73,15,2,6,29:24,79,453,5.73,8,15,1,5,5.00,41,41.00,
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,304,4.83,16,,8,31:17,63,304,4.83,8,6,2,9,9.00,62,62.00,
Oklahoma St.,09/16/2023,South Alabama,L 7-33,208,3.25,15,1,4,25:20,64,208,3.25,6,8,,7,7.00,64,64.00,
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,409,5.68,17,3,5,25:19,72,409,5.68,6,12,,3,3.00,25,25.00,
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,412,5.42,18,2,6,34:42,76,412,5.42,7,13,,5,5.00,45,45.00,
Oklahoma St.,10/14/2023,Kansas,W 39-32,554,7.01,15,,6,31:31,79,554,7.01,11,16,,3,3.00,12,12.00,
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,491,7.12,14,,8,27:24,69,491,7.12,9,10,2,7,7.00,65,65.00,
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,601,8.46,15,1,6,29:27,71,601,8.46,10,10,3,4,4.00,30,30.00,
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,481,5.94,15,4,5,37:14,81,481,5.94,6,18,3,4,4.00,29,29.00,
Oklahoma St.,11/11/2023,@ UCF,L 3-45,277,4.33,12,3,2,25:15,64,277,4.33,3,12,,5,5.00,45,45.00,
Oklahoma St.,11/18/2023,@ Houston,W 43-30,501,6.42,11,,6,32:12,78,501,6.42,5,21,2,5,5.00,53,53.00,
Oklahoma St.,11/25/2023,BYU,W 40-34 (2 OT),503,5.72,17,2,7,34:30,88,503,5.72,10,14,4,5,5.00,36,36.00,
Oklahoma St.,12/02/2023,"Texas @Arlington, TX",L 21-49,281,5.02,10,1,3,19:54,56,281,5.02,2,10,1,3,3.00,24,24.00,
Oklahoma St.,12/27/2023,"Texas A&M @Houston, TX",W 31-23,570,7.22,16,1,8,32:29,79,570,7.22,7,21,1,5,5.00,48,48.00,
