TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
TCU,09/02/2023,Colorado,L 42-45,42,24,2,279,2.0,119.13,24.0,11.625,0.571,279.0,37,262,262,,7.08,4.0,262.0,74,24,279,24.0,11.63,2.0,279.0,23,541,6.85,16,2,10,25:27,79,541,6.85,11,15,1.0,10,10.0,78,78.0,,,279,,9.0,,150.0,700,,66,6.0,6.0,6.0,,,,,,,,,,42,4.0,,32.0,4.0,44,34,7,,36,78,,2,,,2.0,1.0,,,9.0,,1.0,,,1.0,2.0,95.0,47.5,,48.0,93.0,,,,7,455,6,5.0,,150.0,287,,4.0,6,28.0,4.0,,,,,2/,,,,1.0,,1.0,1.0,,,2
TCU,09/09/2023,Nicholls,W 41-6,33,28,1,313,3.0,188.46,28.0,11.179,0.848,313.0,37,129,150,21.0,3.49,1.0,129.0,32,28,313,28.0,11.18,3.0,313.0,34,442,6.31,12,4,4,24:34,70,442,6.31,9,13,,5,5.0,50,50.0,,,313,1.0,5.0,62.0,64.0,573,,72,5.0,5.0,5.0,,,,,,,,2.0,,41,2.0,2.0,19.0,3.0,42,34,5,2.0,25,76,,6,1.0,,7.0,1.0,,,5.0,2.0,2.0,,57/,1.0,3.0,126.0,42.0,,49.0,120.0,3.0,1/,62.0,7,447,3,3.0,,64.0,316,,3.0,4,17.0,,2,1.0,1.0,1/,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1
TCU,09/16/2023,@ Houston,W 36-13,37,24,1,314,2.0,148.58,24.0,13.083,0.649,314.0,51,250,284,34.0,4.9,2.0,250.0,18,24,314,24.0,13.08,2.0,314.0,33,564,6.41,15,3,6,34:00,88,564,6.41,18,15,2.0,7,7.0,75,75.0,,1.0,314,2.0,,,28.0,593,,79,4.0,3.0,4.0,,,,,,,,3.0,,36,4.0,4.0,34.0,6.0,41,20,6,4.0,39,61,1.0,1,2.0,,3.0,,,,,3.0,5.0,,53,1.0,2.0,88.0,44.0,,45.0,89.0,1.0,,,9,488,2,1.0,,28.0,237,,3.0,4,17.0,2.0,,1.0,1.0,,1,,,,,2.0,,,1.0,2.0,1
TCU,09/23/2023,SMU,W 34-17,33,24,,265,3.0,170.18,24.0,11.042,0.727,265.0,44,192,218,26.0,4.36,1.0,192.0,24,24,265,24.0,11.04,3.0,265.0,38,457,5.94,15,5,6,29:48,77,457,5.94,13,12,,6,6.0,48,48.0,,53.0,265,2.0,,,22.0,532,,71,4.0,4.0,4.0,,,,,,,,2.0,,34,3.0,,17.0,3.0,31,30,4,2.0,23,61,53.0,6,2.0,,8.0,,,,,2.0,2.0,,35,1.0,2.0,81.0,40.5,,44.0,81.0,,,,7,448,6,1.0,,22.0,293,,4.0,5,20.0,,2,2.0,2.0,,,1.0,,,,2.0,,,,2.0,
TCU,09/30/2023,West Virginia,L 21-24,41,23,,298,2.0,133.25,23.0,12.957,0.561,298.0,38,135,168,33.0,3.55,1.0,135.0,31,23,298,23.0,12.96,2.0,298.0,59,433,5.48,16,2,6,26:33,79,433,5.48,12,11,,7,7.0,39,39.0,,,298,,,1.0,43.0,477,,65,3.0,3.0,3.0,,,,,,,,,,21,,,,,32,28,4,2.0,6,60,,5,,,5.0,1.0,,,,,3.0,2/,,,5.0,218.0,43.6,,57.0,186.0,2.0,,1.0,4,228,2,2.0,,43.0,160,,,1,,,,,,,,1.0,,,,,,,,,
TCU,10/07/2023,@ Iowa St.,L 14-27,36,21,4/,213,2.0,104.14,21.0,10.143,0.583,213.0,37,185,212,27.0,5.0,,185.0,29,21,213,21.0,10.14,2.0,213.0,21,398,5.45,14,3,7,27:42,73,398,5.45,10,13,,6,6.0,52,52.0,,,213,,,13.0,105.0,516,,64,2.0,2.0,2.0,,,,,,,,,,14,,,,,40,16,4,,11,56,,4,,,4.0,,,,,,,,,,4.0,101.0,25.3,,38.0,97.0,1.0,,13.0,2,129,1,5.0,,105.0,104,,2.0,4,14.0,,2,,,,1,1.0,,,,,,,,,4/
TCU,10/14/2023,BYU,W 44-11,59/,38/,2,447,4.0,143.64,38.0,11.763,0.644,447.0,27,137,138,1.0,5.07,,137.0,26,38/,447,38.0,11.76,4.0,447.0,42,584,6.79,19,1,12,30:38,86,584,6.79,6,23/,1.0,7,7.0,59,59.0,,35.0,447,1.0,,2.0,50.0,671,,70,5.0,5.0,5.0,,,,,,,,3.0,,44,3.0,,23.0,3.0,38,14,5,,25,52,35.0,4,1.0,1/,5.0,1.0,,,,3.0,3.0,,47,,1.0,44.0,44.0,,44.0,44.0,1.0,,2.0,9,555,5,3.0,,50.0,339,,4.0,5,24.0,,3,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,1.0,2
TCU,10/21/2023,@ Kansas St.,L 3-41,43,23,1,187,,85.37,23.0,8.13,0.535,187.0,22,113,125,12.0,5.14,,113.0,35,23,187,23.0,8.13,,187.0,16,300,4.62,13,3,2,21:10,65,300,4.62,6,11,2.0,4,4.0,33,33.0,,,187,,,,32.0,332,,47,,,,,,,,,,,1.0,,3,1.0,,13.0,1.0,44,16,4,,22,60,,1,,,1.0,,,,,1.0,1.0,,32,2.0,5.0,230.0,46.0,1.0,54.0,205.0,,,,2,130,2,2.0,,32.0,80,,1.0,3,3.0,,,1.0,1.0,,,1.0,,1/,,,,,,,1
TCU,11/02/2023,@ Texas Tech,L 28-35,52,32,2,353,1.0,117.22,32.0,11.031,0.615,353.0,26,87,92,5.0,3.35,3.0,87.0,16,32,353,32.0,11.03,1.0,353.0,35,440,5.64,18,2,10,25:35,78,440,5.64,4,20,2.0,5,5.0,41,41.0,,,353,,,,31.0,471,,60,4.0,4.0,4.0,,,,,,,,,,28,2.0,,14.0,2.0,50,28,7,2.0,25,78,,2,,,2.0,,,,,,1.0,,,2.0,5.0,209.0,41.8,,51.0,180.0,,,,5,325,5,2.0,,31.0,200,,4.0,4,28.0,3.0,1,,,,,,,,,,,,,,2
TCU,11/11/2023,Texas,L 26-29,36,24,1,302,2.0,149.91,24.0,12.583,0.667,302.0,28,88,115,27.0,3.14,1.0,88.0,17,24,302,24.0,12.58,2.0,302.0,46,390,6.09,11,2,3,25:42,64,390,6.09,8,12,2.0,6,6.0,51,51.0,,40.0,302,1.0,,29.0,,459,,55,3.0,2.0,2.0,,,,,1.0,,,2.0,,26,,,,,44,20,2,2.0,7,64,40.0,1,1.0,,2.0,,,,,2.0,2.0,,56,2.0,4.0,150.0,37.5,,47.0,150.0,2.0,,29.0,6,390,4,,,,275,,3.0,4,20.0,1.0,2,,,,,1.0,,,,1.0,,,1.0,1.0,1
