TeamNM,Date,Opponent,Result,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds
TCU,09/02/2023,Colorado,L 42-45,1,,,9
TCU,09/09/2023,Nicholls,W 41-6,1,,,5
TCU,09/16/2023,@ Houston,W 36-13,,,,
TCU,09/23/2023,SMU,W 34-17,,,,
TCU,09/30/2023,West Virginia,L 21-24,1,,,
TCU,10/07/2023,@ Iowa St.,L 14-27,,,,
TCU,10/14/2023,BYU,W 44-11,1,,,
TCU,10/21/2023,@ Kansas St.,L 3-41,,,,
TCU,11/02/2023,@ Texas Tech,L 28-35,,,,
TCU,11/11/2023,Texas,L 26-29,,,,
TCU,11/18/2023,Baylor,W 42-17,,,,
TCU,11/24/2023,@ Oklahoma,L 45-69,,,,
