TeamNM,Date,Opponent,Result,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM
TCU,09/02/2023,Colorado,L 42-45,,1,,
TCU,09/09/2023,Nicholls,W 41-6,2,2,,57/
TCU,09/16/2023,@ Houston,W 36-13,3,5,,53
TCU,09/23/2023,SMU,W 34-17,2,2,,35
TCU,09/30/2023,West Virginia,L 21-24,,3,2/,
TCU,10/07/2023,@ Iowa St.,L 14-27,,,,
TCU,10/14/2023,BYU,W 44-11,3,3,,47
TCU,10/21/2023,@ Kansas St.,L 3-41,1,1,,32
TCU,11/02/2023,@ Texas Tech,L 28-35,,1,,
TCU,11/11/2023,Texas,L 26-29,2,2,,56
TCU,11/18/2023,Baylor,W 42-17,,,,
TCU,11/24/2023,@ Oklahoma,L 45-69,1,1,,23
