TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
TCU,09/02/2023,Colorado,L 42-45,7,455,6,5,,150,287,
TCU,09/09/2023,Nicholls,W 41-6,7,447,3,3,,64,316,
TCU,09/16/2023,@ Houston,W 36-13,9,488,2,1,,28,237,
TCU,09/23/2023,SMU,W 34-17,7,448,6,1,,22,293,
TCU,09/30/2023,West Virginia,L 21-24,4,228,2,2,,43,160,
TCU,10/07/2023,@ Iowa St.,L 14-27,2,129,1,5,,105,104,
TCU,10/14/2023,BYU,W 44-11,9,555,5,3,,50,339,
TCU,10/21/2023,@ Kansas St.,L 3-41,2,130,2,2,,32,80,
TCU,11/02/2023,@ Texas Tech,L 28-35,5,325,5,2,,31,200,
TCU,11/11/2023,Texas,L 26-29,6,390,4,,,,275,
TCU,11/18/2023,Baylor,W 42-17,7,449,6,4,,85,276,
TCU,11/24/2023,@ Oklahoma,L 45-69,6,368,4,4,,65,246,
