TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
TCU,09/02/2023,Colorado,L 42-45,,2,,,2.00
TCU,09/09/2023,Nicholls,W 41-6,,6,1,,7.00
TCU,09/16/2023,@ Houston,W 36-13,1,1,2,,3.00
TCU,09/23/2023,SMU,W 34-17,53,6,2,,8.00
TCU,09/30/2023,West Virginia,L 21-24,,5,,,5.00
TCU,10/07/2023,@ Iowa St.,L 14-27,,4,,,4.00
TCU,10/14/2023,BYU,W 44-11,35,4,1,1/,5.00
TCU,10/21/2023,@ Kansas St.,L 3-41,,1,,,1.00
TCU,11/02/2023,@ Texas Tech,L 28-35,,2,,,2.00
TCU,11/11/2023,Texas,L 26-29,40,1,1,,2.00
TCU,11/18/2023,Baylor,W 42-17,,2,,,2.00
TCU,11/24/2023,@ Oklahoma,L 45-69,,5,1,,6.00
