TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
TCU,09/02/2023,Colorado,L 42-45,42,24,2,279,2,119.13,24.00,11.625,0.571,279.00
TCU,09/09/2023,Nicholls,W 41-6,33,28,1,313,3,188.46,28.00,11.179,0.848,313.00
TCU,09/16/2023,@ Houston,W 36-13,37,24,1,314,2,148.58,24.00,13.083,0.649,314.00
TCU,09/23/2023,SMU,W 34-17,33,24,,265,3,170.18,24.00,11.042,0.727,265.00
TCU,09/30/2023,West Virginia,L 21-24,41,23,,298,2,133.25,23.00,12.957,0.561,298.00
TCU,10/07/2023,@ Iowa St.,L 14-27,36,21,4/,213,2,104.14,21.00,10.143,0.583,213.00
TCU,10/14/2023,BYU,W 44-11,59/,38/,2,447,4,143.64,38.00,11.763,0.644,447.00
TCU,10/21/2023,@ Kansas St.,L 3-41,43,23,1,187,,85.37,23.00,8.130,0.535,187.00
TCU,11/02/2023,@ Texas Tech,L 28-35,52,32,2,353,1,117.22,32.00,11.031,0.615,353.00
TCU,11/11/2023,Texas,L 26-29,36,24,1,302,2,149.91,24.00,12.583,0.667,302.00
TCU,11/18/2023,Baylor,W 42-17,33,26,,431,2,208.50,26.00,16.577,0.788,431.00
TCU,11/24/2023,@ Oklahoma,L 45-69,58,32,1,344,4,124.30,32.00,10.750,0.552,344.00
