TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
TCU,09/02/2023,Colorado,L 42-45,1,2,95,47.5,,48,93
TCU,09/09/2023,Nicholls,W 41-6,1,3,126,42.0,,49,120
TCU,09/16/2023,@ Houston,W 36-13,1,2,88,44.0,,45,89
TCU,09/23/2023,SMU,W 34-17,1,2,81,40.5,,44,81
TCU,09/30/2023,West Virginia,L 21-24,,5,218,43.6,,57,186
TCU,10/07/2023,@ Iowa St.,L 14-27,,4,101,25.3,,38,97
TCU,10/14/2023,BYU,W 44-11,,1,44,44.0,,44,44
TCU,10/21/2023,@ Kansas St.,L 3-41,2,5,230,46.0,1,54,205
TCU,11/02/2023,@ Texas Tech,L 28-35,2,5,209,41.8,,51,180
TCU,11/11/2023,Texas,L 26-29,2,4,150,37.5,,47,150
TCU,11/18/2023,Baylor,W 42-17,,,,,,,
TCU,11/24/2023,@ Oklahoma,L 45-69,1,5,219,43.8,1,50,197
