TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
TCU,09/02/2023,Colorado,L 42-45,24,279,24.00,11.63,2,279.00,23
TCU,09/09/2023,Nicholls,W 41-6,28,313,28.00,11.18,3,313.00,34
TCU,09/16/2023,@ Houston,W 36-13,24,314,24.00,13.08,2,314.00,33
TCU,09/23/2023,SMU,W 34-17,24,265,24.00,11.04,3,265.00,38
TCU,09/30/2023,West Virginia,L 21-24,23,298,23.00,12.96,2,298.00,59
TCU,10/07/2023,@ Iowa St.,L 14-27,21,213,21.00,10.14,2,213.00,21
TCU,10/14/2023,BYU,W 44-11,38/,447,38.00,11.76,4,447.00,42
TCU,10/21/2023,@ Kansas St.,L 3-41,23,187,23.00,8.13,,187.00,16
TCU,11/02/2023,@ Texas Tech,L 28-35,32,353,32.00,11.03,1,353.00,35
TCU,11/11/2023,Texas,L 26-29,24,302,24.00,12.58,2,302.00,46
TCU,11/18/2023,Baylor,W 42-17,26,431,26.00,16.58,2,431.00,81
TCU,11/24/2023,@ Oklahoma,L 45-69,32,344,32.00,10.75,4,344.00,48
