TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
TCU,09/02/2023,Colorado,L 42-45,4,6,28,4,,,,,2/,,,
TCU,09/09/2023,Nicholls,W 41-6,3,4,17,,2,1,1,1/,,,,
TCU,09/16/2023,@ Houston,W 36-13,3,4,17,2,,1,1,,1,,,
TCU,09/23/2023,SMU,W 34-17,4,5,20,,2,2,2,,,1,,
TCU,09/30/2023,West Virginia,L 21-24,,1,,,,,,,,1,,
TCU,10/07/2023,@ Iowa St.,L 14-27,2,4,14,,2,,,,1,1,,
TCU,10/14/2023,BYU,W 44-11,4,5,24,,3,1,1,,,1,,
TCU,10/21/2023,@ Kansas St.,L 3-41,1,3,3,,,1,1,,,1,,1/
TCU,11/02/2023,@ Texas Tech,L 28-35,4,4,28,3,1,,,,,,,
TCU,11/11/2023,Texas,L 26-29,3,4,20,1,2,,,,,1,,
TCU,11/18/2023,Baylor,W 42-17,3,5,21,2,1,,,1/,,1,,
TCU,11/24/2023,@ Oklahoma,L 45-69,6,6,38,1,4/,1,1,,,,,
