TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
TCU,09/02/2023,Colorado,L 42-45,37,262,262,,7.08,4,262.00,74
TCU,09/09/2023,Nicholls,W 41-6,37,129,150,21,3.49,1,129.00,32
TCU,09/16/2023,@ Houston,W 36-13,51,250,284,34,4.90,2,250.00,18
TCU,09/23/2023,SMU,W 34-17,44,192,218,26,4.36,1,192.00,24
TCU,09/30/2023,West Virginia,L 21-24,38,135,168,33,3.55,1,135.00,31
TCU,10/07/2023,@ Iowa St.,L 14-27,37,185,212,27,5.00,,185.00,29
TCU,10/14/2023,BYU,W 44-11,27,137,138,1,5.07,,137.00,26
TCU,10/21/2023,@ Kansas St.,L 3-41,22,113,125,12,5.14,,113.00,35
TCU,11/02/2023,@ Texas Tech,L 28-35,26,87,92,5,3.35,3,87.00,16
TCU,11/11/2023,Texas,L 26-29,28,88,115,27,3.14,1,88.00,17
TCU,11/18/2023,Baylor,W 42-17,30,100,129,29,3.33,4,100.00,31
TCU,11/24/2023,@ Oklahoma,L 45-69,29,176,188,12,6.07,2,176.00,49
