TeamNM,Date,Opponent,Result,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks
TCU,09/02/2023,Colorado,L 42-45,4,,32,4.0
TCU,09/09/2023,Nicholls,W 41-6,2,2,19,3.0
TCU,09/16/2023,@ Houston,W 36-13,4,4,34,6.0
TCU,09/23/2023,SMU,W 34-17,3,,17,3.0
TCU,09/30/2023,West Virginia,L 21-24,,,,
TCU,10/07/2023,@ Iowa St.,L 14-27,,,,
TCU,10/14/2023,BYU,W 44-11,3,,23,3.0
TCU,10/21/2023,@ Kansas St.,L 3-41,1,,13,1.0
TCU,11/02/2023,@ Texas Tech,L 28-35,2,,14,2.0
TCU,11/11/2023,Texas,L 26-29,,,,
TCU,11/18/2023,Baylor,W 42-17,1,,2,1.0
TCU,11/24/2023,@ Oklahoma,L 45-69,2,2,14,3.0
