TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
TCU,09/02/2023,Colorado,L 42-45,6,6,6,,,,,,,,,,42
TCU,09/09/2023,Nicholls,W 41-6,5,5,5,,,,,,,,2,,41
TCU,09/16/2023,@ Houston,W 36-13,4,3,4,,,,,,,,3,,36
TCU,09/23/2023,SMU,W 34-17,4,4,4,,,,,,,,2,,34
TCU,09/30/2023,West Virginia,L 21-24,3,3,3,,,,,,,,,,21
TCU,10/07/2023,@ Iowa St.,L 14-27,2,2,2,,,,,,,,,,14
TCU,10/14/2023,BYU,W 44-11,5,5,5,,,,,,,,3,,44
TCU,10/21/2023,@ Kansas St.,L 3-41,,,,,,,,,,,1,,3
TCU,11/02/2023,@ Texas Tech,L 28-35,4,4,4,,,,,,,,,,28
TCU,11/11/2023,Texas,L 26-29,3,2,2,,,,,1,,,2,,26
TCU,11/18/2023,Baylor,W 42-17,6,6,6,,,,,,,,,,42
TCU,11/24/2023,@ Oklahoma,L 45-69,6,4,5,,,1,1,1,,,1,,45
