TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
TCU,09/02/2023,Colorado,L 42-45,44,34,7,,36,78
TCU,09/09/2023,Nicholls,W 41-6,42,34,5,2,25,76
TCU,09/16/2023,@ Houston,W 36-13,41,20,6,4,39,61
TCU,09/23/2023,SMU,W 34-17,31,30,4,2,23,61
TCU,09/30/2023,West Virginia,L 21-24,32,28,4,2,6,60
TCU,10/07/2023,@ Iowa St.,L 14-27,40,16,4,,11,56
TCU,10/14/2023,BYU,W 44-11,38,14,5,,25,52
TCU,10/21/2023,@ Kansas St.,L 3-41,44,16,4,,22,60
TCU,11/02/2023,@ Texas Tech,L 28-35,50,28,7,2,25,78
TCU,11/11/2023,Texas,L 26-29,44,20,2,2,7,64
TCU,11/18/2023,Baylor,W 42-17,41,28,5,2,12,69
TCU,11/24/2023,@ Oklahoma,L 45-69,34,44,3,4,23,78
