TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
TCU,09/02/2023,Colorado,L 42-45,541,6.85,16,2,10,25:27,79,541,6.85,11,15,1,10,10.00,78,78.00,
TCU,09/09/2023,Nicholls,W 41-6,442,6.31,12,4,4,24:34,70,442,6.31,9,13,,5,5.00,50,50.00,
TCU,09/16/2023,@ Houston,W 36-13,564,6.41,15,3,6,34:00,88,564,6.41,18,15,2,7,7.00,75,75.00,
TCU,09/23/2023,SMU,W 34-17,457,5.94,15,5,6,29:48,77,457,5.94,13,12,,6,6.00,48,48.00,
TCU,09/30/2023,West Virginia,L 21-24,433,5.48,16,2,6,26:33,79,433,5.48,12,11,,7,7.00,39,39.00,
TCU,10/07/2023,@ Iowa St.,L 14-27,398,5.45,14,3,7,27:42,73,398,5.45,10,13,,6,6.00,52,52.00,
TCU,10/14/2023,BYU,W 44-11,584,6.79,19,1,12,30:38,86,584,6.79,6,23/,1,7,7.00,59,59.00,
TCU,10/21/2023,@ Kansas St.,L 3-41,300,4.62,13,3,2,21:10,65,300,4.62,6,11,2,4,4.00,33,33.00,
TCU,11/02/2023,@ Texas Tech,L 28-35,440,5.64,18,2,10,25:35,78,440,5.64,4,20,2,5,5.00,41,41.00,
TCU,11/11/2023,Texas,L 26-29,390,6.09,11,2,3,25:42,64,390,6.09,8,12,2,6,6.00,51,51.00,
TCU,11/18/2023,Baylor,W 42-17,531,8.43,11,2,9,26:32,63,531,8.43,5,18,1,4,4.00,35,35.00,
TCU,11/24/2023,@ Oklahoma,L 45-69,520,5.98,16,3,7,30:22,87,520,5.98,6,17,2,7,7.00,82,82.00,
