TeamNM,Date,Opponent,Result,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays
Texas Tech,09/02/2023,@ Wyoming,L 33-35 (2 OT),,338,,,8,45,484,,67
Texas Tech,09/09/2023,Oregon,L 30-38,,282,,,33,31,520,,58
Texas Tech,09/16/2023,Tarleton St.,W 41-3,56,195,3,,,46,518,,62
Texas Tech,09/23/2023,@ West Virginia,L 13-20,26,161,2,,,108,455,,61
Texas Tech,09/30/2023,Houston,W 49-28,,161,,,7,112,519,,53
Texas Tech,10/07/2023,@ Baylor,W 39-14,,180,,,43,23,432,,63
Texas Tech,10/14/2023,Kansas St.,L 21-38,,298,,,,76,556,,64
Texas Tech,10/21/2023,@ BYU,L 14-27,,236,,,83,53,525,,68
Texas Tech,11/02/2023,TCU,W 35-28,23,282,2,,29,,480,,73
Texas Tech,11/11/2023,@ Kansas,W 16-13,,176,1,,,,312,,64
Texas Tech,11/18/2023,UCF,W 24-23,4,256,1,,7,71,528,,55
Texas Tech,11/24/2023,@ Texas,L 7-57,,88,1,,,227,425,,57
Texas Tech,12/16/2023,"California @Shreveport, LA",W 34-14,12,259,3,,24,49,469,,71
