TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
Texas Tech,09/02/2023,@ Wyoming,L 33-35 (2 OT),47,31,1.0,338,3.0,143.17,31.0,10.903,0.66,338.0,33,93,113,20,2.82,1.0,93.0,12,31,338,31.0,10.9,3.0,338.0,33,431,5.39,17,2,7,25:58,80,431,5.39,7,19,,7,7.0,69,69.0,,,338,,,8.0,45.0,484,,67,4,3,3,,,,,1.0,,,2.0,,33,1.0,2.0,8.0,2.0,47,16,4,4.0,20,63,,4.0,,,4.0,2,,,,2.0,5.0,1.0,54.0,2,4,199,49.8,1,54,179,1.0,,8.0,5,325,5.0,2,,45.0,200,,4,4,23,1.0,2.0,1.0,1.0,,,,,,2.0,,,2.0,,,1.0
Texas Tech,09/09/2023,Oregon,L 30-38,38,24,3.0,282,3.0,135.76,24.0,11.75,0.632,282.0,32,174,218,44,5.44,1.0,174.0,58,24,282,24.0,11.75,3.0,282.0,34,456,6.51,12,2,7,27:45,70,456,6.51,8,13,6/,6,6.0,65,65.0,,,282,,,33.0,31.0,520,,58,4,3,3,,,,,1.0,,,1.0,,30,,2.0,3.0,1.0,44,30,1,8.0,16,74,,,,,,1,,,,1.0,2.0,,45.0,1,2,89,44.5,,52,89,1.0,,33.0,6,384,4.0,1,,31.0,247,,4,5,23,1.0,2.0,1.0,1.0,1/,,,,,,,1.0,,1.0,,3.0
Texas Tech,09/16/2023,Tarleton St.,W 41-3,33,18,1.0,195,3.0,128.12,18.0,10.833,0.545,195.0,39,221,239,18,5.67,1.0,221.0,38,18,195,18.0,10.83,3.0,195.0,46,416,5.78,14,2,6,27:29,72,416,5.78,15,9,2,2,2.0,24,24.0,,56.0,195,3.0,,,46.0,518,,62,5,5,5,,,,,,,,2.0,,41,3.0,,15.0,3.0,52,16,4,2.0,18,68,56.0,6.0,3.0,1/,9.0,,,,,2.0,2.0,,43.0,2,4,195,48.8,1,53,175,,,,8,519,5.0,2,,46.0,336,,4,4,24,1.0,2.0,1.0,1.0,,,,,,,3.0,,,,3.0,1.0
Texas Tech,09/23/2023,@ West Virginia,L 13-20,43,15,,161,1.0,74.01,15.0,10.733,0.349,161.0,38,160,181,21,4.21,,160.0,27,15,161,15.0,10.73,1.0,161.0,26,321,3.96,18,8/,2,25:10,81,321,3.96,11,7,,9,9.0,96,96.0,,26.0,161,2.0,,,108.0,455,,61,1,1,1,,,,,,,,2.0,,13,1.0,,6.0,1.0,35,42,2,4.0,13,77,26.0,1.0,2.0,,3.0,,,,,2.0,2.0,,39.0,,6,294,49.0,,54,249,1.0,,,4,244,2.0,5,,108.0,163,,2,3,10,,1.0,1.0,1.0,,,1.0,,,,2.0,,,,2.0,
Texas Tech,09/30/2023,Houston,W 49-28,22,14,,161,2.0,155.11,14.0,11.5,0.636,161.0,37,239,241,2,6.46,3.0,239.0,54,14,161,14.0,11.5,2.0,161.0,34,400,6.78,11,1,6,24:49,59,400,6.78,11,9,1,1,1.0,5,5.0,,,161,,,7.0,112.0,519,,53,7,7,7,,,,,,,,,,49,1.0,,7.0,1.0,55,12,5,,18,67,,1.0,,,1.0,1,,,,,,,,1,4,199,49.8,2/,59,160,,1/,7.0,8,511,6.0,2,1.0,112.0,334,,3,3,21,2.0,1.0,,,,,,,,,,1.0,,,,
Texas Tech,10/07/2023,@ Baylor,W 39-14,26,19,1.0,180,3.0,161.62,19.0,9.474,0.731,180.0,42,186,202,16,4.43,2.0,186.0,24,19,180,19.0,9.47,3.0,180.0,24,366,5.38,18,2,10,30:04,68,366,5.38,11,7,1,4,4.0,40,40.0,,,180,,,43.0,23.0,432,,63,5,4,4,1/,1/,,,,,,1.0,,39,4.0,4.0,45.0,6.0,39,22,9,4.0,69/,61,,4.0,,,4.0,4/,,,,1.0,1.0,,37.0,3,3,144,48.0,,53,144,1.0,,43.0,7,447,2.0,1,,23.0,293,,6,8,39,2.0,3.0,1.0,1.0,,,1.0,,1/,1.0,,,1.0,1.0,,1.0
Texas Tech,10/14/2023,Kansas St.,L 21-38,49,30,3.0,298,1.0,106.8,30.0,9.933,0.612,298.0,30,182,190,8,6.07,2.0,182.0,54,30,298,30.0,9.93,1.0,298.0,43,480,6.08,13,5,4,27:15,79,480,6.08,8,14,2,5,5.0,45,45.0,,,298,,,,76.0,556,,64,3,3,3,,,,,,,,,,21,,2.0,8.0,1.0,41,28,3,6.0,14,69,,3.0,,,3.0,,,,,,,,,,4,183,45.8,1,57,164,,,,4,255,3.0,4,,76.0,164,,3,4,21,2.0,1.0,,,,1.0,,,,,,,,,,3.0
Texas Tech,10/21/2023,@ BYU,L 14-27,37,19,3.0,236,1.0,97.63,19.0,12.421,0.514,236.0,43,153,169,16,3.56,1.0,153.0,20,19,236,19.0,12.42,1.0,236.0,72,389,4.86,18,5,9,30:55,80,389,4.86,10,8,1,9,9.0,80,80.0,,,236,,,83.0,53.0,525,,68,2,2,2,,,,,,,,,,14,1.0,,7.0,1.0,29,30,3,,18,59,,3.0,,,3.0,,,,,,,,,3,4,192,48.0,,57,195,4.0,,83.0,3,197,2.0,2,,53.0,141,,1,2,7,1.0,,,,,,1.0,,,,,,,2.0,,3.0
Texas Tech,11/02/2023,TCU,W 35-28,36,28,,282,2.0,161.91,28.0,10.071,0.778,282.0,42,146,168,22,3.48,2.0,146.0,20,28,282,28.0,10.07,2.0,282.0,44,428,5.49,19,3,7,34:25,78,428,5.49,9,11,2,8,8.0,72,72.0,,23.0,282,2.0,,29.0,,480,,73,4,3,3,,,1.0,1.0,1.0,,,2.0,,35,,,,,43,24,1,,5,67,23.0,1.0,2.0,,3.0,,,,,2.0,2.0,,55.0,3,4,175,43.8,,51,175,1.0,,29.0,7,454,5.0,,,,298,,3,3,18,2.0,,1.0,1.0,,,,,,,2.0,,,,2.0,
Texas Tech,11/11/2023,@ Kansas,W 16-13,25,19,1.0,176,,127.14,19.0,9.263,0.76,176.0,44,136,160,24,3.09,1.0,136.0,11,19,176,19.0,9.26,,176.0,33,312,4.52,14,2,4,31:23,69,312,4.52,12,7,2,4,4.0,45,45.0,,,176,1.0,,,,312,,64,1,1,1,,,,,,,,3.0,,16,2.0,2.0,27.0,3.0,47,10,5,2.0,35,57,,5.0,1.0,,6.0,,,,,3.0,4.0,,32.0,2,5,232,46.4,1,56,212,,,,5,308,4.0,,,,208,,4,4,16,1.0,,3.0,3.0,,,,,,,1.0,,,,1.0,1.0
