TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
Texas Tech,09/02/2023,@ Wyoming,L 33-35 (2 OT),5,325,5,2,,45,200,
Texas Tech,09/09/2023,Oregon,L 30-38,6,384,4,1,,31,247,
Texas Tech,09/16/2023,Tarleton St.,W 41-3,8,519,5,2,,46,336,
Texas Tech,09/23/2023,@ West Virginia,L 13-20,4,244,2,5,,108,163,
Texas Tech,09/30/2023,Houston,W 49-28,8,511,6,2,1,112,334,
Texas Tech,10/07/2023,@ Baylor,W 39-14,7,447,2,1,,23,293,
Texas Tech,10/14/2023,Kansas St.,L 21-38,4,255,3,4,,76,164,
Texas Tech,10/21/2023,@ BYU,L 14-27,3,197,2,2,,53,141,
Texas Tech,11/02/2023,TCU,W 35-28,7,454,5,,,,298,
Texas Tech,11/11/2023,@ Kansas,W 16-13,5,308,4,,,,208,
Texas Tech,11/18/2023,UCF,W 24-23,5,325,2,3,,71,275,
Texas Tech,11/24/2023,@ Texas,L 7-57,2,114,,9/,,227,4,
Texas Tech,12/16/2023,"California @Shreveport, LA",W 34-14,7,421,2,2,,49,327,
