TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
Texas Tech,09/02/2023,@ Wyoming,L 33-35 (2 OT),,4,,,4.00
Texas Tech,09/09/2023,Oregon,L 30-38,,,,,
Texas Tech,09/16/2023,Tarleton St.,W 41-3,56,6,3,1/,9.00
Texas Tech,09/23/2023,@ West Virginia,L 13-20,26,1,2,,3.00
Texas Tech,09/30/2023,Houston,W 49-28,,1,,,1.00
Texas Tech,10/07/2023,@ Baylor,W 39-14,,4,,,4.00
Texas Tech,10/14/2023,Kansas St.,L 21-38,,3,,,3.00
Texas Tech,10/21/2023,@ BYU,L 14-27,,3,,,3.00
Texas Tech,11/02/2023,TCU,W 35-28,23,1,2,,3.00
Texas Tech,11/11/2023,@ Kansas,W 16-13,,5,1,,6.00
Texas Tech,11/18/2023,UCF,W 24-23,4,7,1,,8.00
Texas Tech,11/24/2023,@ Texas,L 7-57,,6,1,,7.00
Texas Tech,12/16/2023,"California @Shreveport, LA",W 34-14,12,4,3,,7.00
