TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
Texas Tech,09/02/2023,@ Wyoming,L 33-35 (2 OT),47,31,1,338,3,143.17,31.00,10.903,0.660,338.00
Texas Tech,09/09/2023,Oregon,L 30-38,38,24,3,282,3,135.76,24.00,11.750,0.632,282.00
Texas Tech,09/16/2023,Tarleton St.,W 41-3,33,18,1,195,3,128.12,18.00,10.833,0.545,195.00
Texas Tech,09/23/2023,@ West Virginia,L 13-20,43,15,,161,1,74.01,15.00,10.733,0.349,161.00
Texas Tech,09/30/2023,Houston,W 49-28,22,14,,161,2,155.11,14.00,11.500,0.636,161.00
Texas Tech,10/07/2023,@ Baylor,W 39-14,26,19,1,180,3,161.62,19.00,9.474,0.731,180.00
Texas Tech,10/14/2023,Kansas St.,L 21-38,49,30,3,298,1,106.80,30.00,9.933,0.612,298.00
Texas Tech,10/21/2023,@ BYU,L 14-27,37,19,3,236,1,97.63,19.00,12.421,0.514,236.00
Texas Tech,11/02/2023,TCU,W 35-28,36,28,,282,2,161.91,28.00,10.071,0.778,282.00
Texas Tech,11/11/2023,@ Kansas,W 16-13,25,19,1,176,,127.14,19.00,9.263,0.760,176.00
Texas Tech,11/18/2023,UCF,W 24-23,34,21,1,256,2,138.54,21.00,12.190,0.618,256.00
Texas Tech,11/24/2023,@ Texas,L 7-57,36,19,3,88,,56.64,19.00,4.632,0.528,88.00
Texas Tech,12/16/2023,"California @Shreveport, LA",W 34-14,44,27,1,259,3,128.76,27.00,9.593,0.614,259.00
