TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
Texas Tech,09/02/2023,@ Wyoming,L 33-35 (2 OT),2,4,199,49.8,1,54,179
Texas Tech,09/09/2023,Oregon,L 30-38,1,2,89,44.5,,52,89
Texas Tech,09/16/2023,Tarleton St.,W 41-3,2,4,195,48.8,1,53,175
Texas Tech,09/23/2023,@ West Virginia,L 13-20,,6,294,49.0,,54,249
Texas Tech,09/30/2023,Houston,W 49-28,1,4,199,49.8,2/,59,160
Texas Tech,10/07/2023,@ Baylor,W 39-14,3,3,144,48.0,,53,144
Texas Tech,10/14/2023,Kansas St.,L 21-38,,4,183,45.8,1,57,164
Texas Tech,10/21/2023,@ BYU,L 14-27,3,4,192,48.0,,57,195
Texas Tech,11/02/2023,TCU,W 35-28,3,4,175,43.8,,51,175
Texas Tech,11/11/2023,@ Kansas,W 16-13,2,5,232,46.4,1,56,212
Texas Tech,11/18/2023,UCF,W 24-23,2,2,94,47.0,,53,98
Texas Tech,11/24/2023,@ Texas,L 7-57,1,9/,329,36.6,,55,281
Texas Tech,12/16/2023,"California @Shreveport, LA",W 34-14,4/,5,223,44.6,1,54,203
