TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
Texas Tech,09/02/2023,@ Wyoming,L 33-35 (2 OT),31,338,31.00,10.90,3,338.00,33
Texas Tech,09/09/2023,Oregon,L 30-38,24,282,24.00,11.75,3,282.00,34
Texas Tech,09/16/2023,Tarleton St.,W 41-3,18,195,18.00,10.83,3,195.00,46
Texas Tech,09/23/2023,@ West Virginia,L 13-20,15,161,15.00,10.73,1,161.00,26
Texas Tech,09/30/2023,Houston,W 49-28,14,161,14.00,11.50,2,161.00,34
Texas Tech,10/07/2023,@ Baylor,W 39-14,19,180,19.00,9.47,3,180.00,24
Texas Tech,10/14/2023,Kansas St.,L 21-38,30,298,30.00,9.93,1,298.00,43
Texas Tech,10/21/2023,@ BYU,L 14-27,19,236,19.00,12.42,1,236.00,72
Texas Tech,11/02/2023,TCU,W 35-28,28,282,28.00,10.07,2,282.00,44
Texas Tech,11/11/2023,@ Kansas,W 16-13,19,176,19.00,9.26,,176.00,33
Texas Tech,11/18/2023,UCF,W 24-23,21,256,21.00,12.19,2,256.00,49
Texas Tech,11/24/2023,@ Texas,L 7-57,19,88,19.00,4.63,,88.00,15
Texas Tech,12/16/2023,"California @Shreveport, LA",W 34-14,27,259,27.00,9.59,3,259.00,41
