TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
Texas Tech,09/02/2023,@ Wyoming,L 33-35 (2 OT),4,4,23,1,2,1,1,,,,,
Texas Tech,09/09/2023,Oregon,L 30-38,4,5,23,1,2,1,1,1/,,,,
Texas Tech,09/16/2023,Tarleton St.,W 41-3,4,4,24,1,2,1,1,,,,,
Texas Tech,09/23/2023,@ West Virginia,L 13-20,2,3,10,,1,1,1,,,1,,
Texas Tech,09/30/2023,Houston,W 49-28,3,3,21,2,1,,,,,,,
Texas Tech,10/07/2023,@ Baylor,W 39-14,6,8,39,2,3,1,1,,,1,,1/
Texas Tech,10/14/2023,Kansas St.,L 21-38,3,4,21,2,1,,,,1,,,
Texas Tech,10/21/2023,@ BYU,L 14-27,1,2,7,1,,,,,,1,,
Texas Tech,11/02/2023,TCU,W 35-28,3,3,18,2,,1,1,,,,,
Texas Tech,11/11/2023,@ Kansas,W 16-13,4,4,16,1,,3,3,,,,,
Texas Tech,11/18/2023,UCF,W 24-23,3,4,21,1,2,,,,,1,,
Texas Tech,11/24/2023,@ Texas,L 7-57,1,1,7,1,,,,,,,,
Texas Tech,12/16/2023,"California @Shreveport, LA",W 34-14,5,5,27,1,2,2,2,,,,,
