TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
Texas Tech,09/02/2023,@ Wyoming,L 33-35 (2 OT),33,93,113,20,2.82,1,93.00,12
Texas Tech,09/09/2023,Oregon,L 30-38,32,174,218,44,5.44,1,174.00,58
Texas Tech,09/16/2023,Tarleton St.,W 41-3,39,221,239,18,5.67,1,221.00,38
Texas Tech,09/23/2023,@ West Virginia,L 13-20,38,160,181,21,4.21,,160.00,27
Texas Tech,09/30/2023,Houston,W 49-28,37,239,241,2,6.46,3,239.00,54
Texas Tech,10/07/2023,@ Baylor,W 39-14,42,186,202,16,4.43,2,186.00,24
Texas Tech,10/14/2023,Kansas St.,L 21-38,30,182,190,8,6.07,2,182.00,54
Texas Tech,10/21/2023,@ BYU,L 14-27,43,153,169,16,3.56,1,153.00,20
Texas Tech,11/02/2023,TCU,W 35-28,42,146,168,22,3.48,2,146.00,20
Texas Tech,11/11/2023,@ Kansas,W 16-13,44,136,160,24,3.09,1,136.00,11
Texas Tech,11/18/2023,UCF,W 24-23,29,190,194,4,6.55,1,190.00,46
Texas Tech,11/24/2023,@ Texas,L 7-57,28,110,135,25,3.93,1,110.00,25
Texas Tech,12/16/2023,"California @Shreveport, LA",W 34-14,37,125,145,20,3.38,1,125.00,15
