TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
Texas Tech,09/02/2023,@ Wyoming,L 33-35 (2 OT),4,3,3,,,,,1,,,2,,33
Texas Tech,09/09/2023,Oregon,L 30-38,4,3,3,,,,,1,,,1,,30
Texas Tech,09/16/2023,Tarleton St.,W 41-3,5,5,5,,,,,,,,2,,41
Texas Tech,09/23/2023,@ West Virginia,L 13-20,1,1,1,,,,,,,,2,,13
Texas Tech,09/30/2023,Houston,W 49-28,7,7,7,,,,,,,,,,49
Texas Tech,10/07/2023,@ Baylor,W 39-14,5,4,4,1/,1/,,,,,,1,,39
Texas Tech,10/14/2023,Kansas St.,L 21-38,3,3,3,,,,,,,,,,21
Texas Tech,10/21/2023,@ BYU,L 14-27,2,2,2,,,,,,,,,,14
Texas Tech,11/02/2023,TCU,W 35-28,4,3,3,,,1,1,1,,,2,,35
Texas Tech,11/11/2023,@ Kansas,W 16-13,1,1,1,,,,,,,,3,,16
Texas Tech,11/18/2023,UCF,W 24-23,3,3,3,,,,,,,,1,,24
Texas Tech,11/24/2023,@ Texas,L 7-57,1,1,1,,,,,,,,,,7
Texas Tech,12/16/2023,"California @Shreveport, LA",W 34-14,4,4,4,,,,,,,,2,,34
