TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
Texas Tech,09/02/2023,@ Wyoming,L 33-35 (2 OT),47,16,4,4,20,63
Texas Tech,09/09/2023,Oregon,L 30-38,44,30,1,8,16,74
Texas Tech,09/16/2023,Tarleton St.,W 41-3,52,16,4,2,18,68
Texas Tech,09/23/2023,@ West Virginia,L 13-20,35,42,2,4,13,77
Texas Tech,09/30/2023,Houston,W 49-28,55,12,5,,18,67
Texas Tech,10/07/2023,@ Baylor,W 39-14,39,22,9,4,69/,61
Texas Tech,10/14/2023,Kansas St.,L 21-38,41,28,3,6,14,69
Texas Tech,10/21/2023,@ BYU,L 14-27,29,30,3,,18,59
Texas Tech,11/02/2023,TCU,W 35-28,43,24,1,,5,67
Texas Tech,11/11/2023,@ Kansas,W 16-13,47,10,5,2,35,57
Texas Tech,11/18/2023,UCF,W 24-23,39,24,1,2,3,63
Texas Tech,11/24/2023,@ Texas,L 7-57,31,54,3,,11,85
Texas Tech,12/16/2023,"California @Shreveport, LA",W 34-14,37,32,9,8,49,69
