TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
Texas Tech,09/02/2023,@ Wyoming,L 33-35 (2 OT),431,5.39,17,2,7,25:58,80,431,5.39,7,19,,7,7.00,69,69.00,
Texas Tech,09/09/2023,Oregon,L 30-38,456,6.51,12,2,7,27:45,70,456,6.51,8,13,6/,6,6.00,65,65.00,
Texas Tech,09/16/2023,Tarleton St.,W 41-3,416,5.78,14,2,6,27:29,72,416,5.78,15,9,2,2,2.00,24,24.00,
Texas Tech,09/23/2023,@ West Virginia,L 13-20,321,3.96,18,8/,2,25:10,81,321,3.96,11,7,,9,9.00,96,96.00,
Texas Tech,09/30/2023,Houston,W 49-28,400,6.78,11,1,6,24:49,59,400,6.78,11,9,1,1,1.00,5,5.00,
Texas Tech,10/07/2023,@ Baylor,W 39-14,366,5.38,18,2,10,30:04,68,366,5.38,11,7,1,4,4.00,40,40.00,
Texas Tech,10/14/2023,Kansas St.,L 21-38,480,6.08,13,5,4,27:15,79,480,6.08,8,14,2,5,5.00,45,45.00,
Texas Tech,10/21/2023,@ BYU,L 14-27,389,4.86,18,5,9,30:55,80,389,4.86,10,8,1,9,9.00,80,80.00,
Texas Tech,11/02/2023,TCU,W 35-28,428,5.49,19,3,7,34:25,78,428,5.49,9,11,2,8,8.00,72,72.00,
Texas Tech,11/11/2023,@ Kansas,W 16-13,312,4.52,14,2,4,31:23,69,312,4.52,12,7,2,4,4.00,45,45.00,
Texas Tech,11/18/2023,UCF,W 24-23,446,7.08,9,2,3,28:03,63,446,7.08,10,14,1,7,7.00,58,58.00,
Texas Tech,11/24/2023,@ Texas,L 7-57,198,3.09,13,1,3,27:00,64,198,3.09,7,5,2,5,5.00,35,35.00,
Texas Tech,12/16/2023,"California @Shreveport, LA",W 34-14,384,4.74,19,2,9,30:58,81,384,4.74,11,12,1,4,4.00,15,15.00,
