TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
UCF,08/31/2023,Kent St.,W 56-6,35,25,2.0,334,3.0,168.45,25.0,13.36,0.714,334.0,46,389,394,5,8.46,5.0,389.0,48,25,334,25.0,13.36,3.0,334.0,50,723/,8.93,12,1,9,31:26,81,723/,8.93,17,13,2.0,7,7.0,70,70.0,,,334,1.0,,,,723,,72,8,8.0,8.0,,,,,,,,,,56,3.0,2.0,16,4.0,30,38,5,4.0,25,68,,5.0,1.0,,6.00,,,,,,,,,,1,42,42.0,,42,42,,,,9,581,6.0,,,,351,,6,7,42,4.0,2.0,,,,1,,,,,1.0,,,1.0,1.0,2.0
UCF,09/09/2023,@ Boise St.,W 18-16,24,16,2.0,272,,145.2,16.0,17.0,0.667,272.0,41,258,271,13,6.29,1.0,258.0,39,16,272,16.0,17.0,,272.0,53,530,8.15,10,1,4,28:03,65,530,8.15,12,9,2.0,4,4.0,25,25.0,,1.0,272,1.0,,5.0,50.0,586,,61,1,,,,,,,1.0,,,4.0,,18,2.0,,15,2.0,44,12,7,2.0,28,56,1.0,2.0,1.0,,3.00,,,,,4.0,4.0,,55.0,1.0,2,93,46.5,,54,86,1,,5.0,5,300,3.0,2.0,,50.0,197,,2,5,9,1.0,,1.0,1.0,,2/,1,,,,1.0,,,,1.0,2.0
UCF,09/16/2023,Villanova,W 48-14,33,24,,349,2.0,181.56,24.0,14.542,0.727,349.0,54,251,284,33,4.65,4.0,251.0,24,24,349,24.0,14.54,2.0,349.0,58,600,6.9,15,3,7,32:52,87,600,6.9,17,14,,7,7.0,43,43.0,,42.0,349,1.0,,94.0,,736,,85/,6,6.0,6.0,,,,,,,,2.0,,48,2.0,,17,2.0,21,28,6,,23,49,42.0,1.0,1.0,,2.00,,,,,2.0,2.0,,41.0,1.0,3,144,48.0,1.0,52,111,6/,,94.0,10,583,5.0,,,,440,,5,6,27,3.0,,2.0,2.0,,,,,1/,,1.0,,,,1.0,
UCF,09/23/2023,@ Kansas St.,L 31-44,25,14,1.0,264,3.0,176.3,14.0,18.857,0.56,264.0,34,143,179,36,4.21,1.0,143.0,48,14,264,14.0,18.86,3.0,264.0,69,407,6.9,12,2,5,25:37,59,407,6.9,6,10,3.0,10,10.0,80,80.0,,3.0,264,1.0,,12.0,95.0,517,,53,4,4.0,4.0,,,,,,,,1.0,,31,1.0,,7,1.0,51,12,1,2.0,9,63,3.0,4.0,1.0,,5.00,,,,,1.0,2.0,,29.0,1.0,2,78,39.0,,42,78,1,,12.0,6,345,2.0,3.0,,95.0,245,,2,2,10,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,1.0
UCF,09/30/2023,Baylor,L 35-36,26,13,1.0,234,2.0,143.29,13.0,18.0,0.5,234.0,35,235,250,15,6.71,2.0,235.0,79,13,234,13.0,18.0,2.0,234.0,65,469,7.69,13,2,5,24:29,61,469,7.69,9,8,1.0,7,7.0,74,74.0,,,234,,87/,8.0,67.0,631,,53,5,5.0,5.0,,,,,,,,,,35,4.0,,50/,4.0,48,28,7,,55,76,,6.0,,,6.00,1.0,,1/,87/,,2.0,1.0,,,2,68,34.0,,49,50,1,,8.0,6,379,2.0,4.0,,67.0,239,,2,3,15,1.0,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,1.0
UCF,10/07/2023,@ Kansas,L 22-51,23,15,,169,2.0,155.63,15.0,11.267,0.652,169.0,38,202,244,42,5.32,1.0,202.0,53,15,169,15.0,11.27,2.0,169.0,41,371,6.08,12,1,7,25:37,61,371,6.08,13,8,,5,5.0,40,40.0,,,169,,,,,371,,53,3,2.0,2.0,,1/,,,1.0,,1/,,,22,1.0,,12,1.0,47,10,5,,26,57,,1.0,,,1.00,,,,,,,,,1.0,4,148,37.0,,42,66,,,,3,192,2.0,,,,99,,2,2,13,1.0,1.0,,,,,,,,,,,,1.0,,
UCF,10/21/2023,@ Oklahoma,L 29-31,30,16,,248,2.0,144.77,16.0,15.5,0.533,248.0,41,149,189,40,3.63,1.0,149.0,54,16,248,16.0,15.5,2.0,248.0,86/,397,5.59,15,1,4,30:16,71,397,5.59,8,9,3.0,7,7.0,51,51.0,,27.0,248,1.0,,13.0,27.0,464,,63,3,2.0,2.0,,1/,,,,,,3.0,,29,3.0,,22,3.0,51,32,5,2.0,29,83,27.0,3.0,1.0,,4.00,,,,,3.0,3.0,,48.0,1.0,7,273,39.0,,49,249,3,,13.0,6,395,4.0,2.0,,27.0,254,,3,3,16,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,
UCF,10/28/2023,West Virginia,L 28-41,36,25,3.0,274,3.0,144.21,25.0,10.96,0.694,274.0,33,189,200,11,5.73,1.0,189.0,29,25,274,25.0,10.96,3.0,274.0,34,463,6.71,12,2,9,23:54,69,463,6.71,11,15,1.0,6,6.0,56,56.0,,,274,,,,18.0,481,,59,4,4.0,4.0,,,,,,,,,,28,1.0,,9,1.0,45,26,2,,11,71,,3.0,,,3.00,2.0,,,,,,,,,1,36,36.0,,36,36,,,,4,187,1.0,1.0,,18.0,143,,3,3,21,1.0,2.0,,,,,,,,1.0,,,1.0,1.0,,3.0
UCF,11/04/2023,@ Cincinnati,W 28-26,23,13,,165,,116.78,13.0,12.692,0.565,165.0,39,228,242,14,5.85,4.0,228.0,27,13,165,13.0,12.69,,165.0,40,393,6.34,12,1,6,27:03,62,393,6.34,13,7,3.0,3,3.0,20,20.0,,24.0,165,1.0,,,14.0,431,,54,4,4.0,4.0,,,,,,,,,,28,2.0,4.0,19,4.0,40,40,5,8.0,34,80,24.0,1.0,1.0,,2.00,1.0,,,,,1.0,,,1.0,4,172,43.0,,64,172,,,,5,277,2.0,1.0,,14.0,204,,3,3,21,3.0,,,,,,,,,1.0,1.0,,1.0,,1.0,
UCF,11/11/2023,Oklahoma St.,W 45-3,19,12,,299,3.0,247.45,12.0,24.917,0.632,299.0,51,293,315,22,5.75,3.0,293.0,92/,12,299,12.0,24.92,3.0,299.0,75,592,8.46,12,2,6,34:45,70,592,8.46,11,8,2.0,4,4.0,40,40.0,,10.0,299,3.0,,9.0,,611,,68,6,6.0,6.0,,,,,,,,1.0,,45,1.0,,11,1.0,33,22,4,,17,55,10.0,9.0,3.0,,12.00/,1.0,,,,1.0,1.0,,30.0,1.0,3,133,44.3,,45,133,2,,9.0,8,487,4.0,,,,283,,5,5,31,2.0,2.0,1.0,1.0,,,,,,1.0,3.0,,1.0,1.0,3.0,
