TeamNM,Date,Opponent,Result,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM
UCF,08/31/2023,Kent St.,W 56-6,,,,
UCF,09/09/2023,@ Boise St.,W 18-16,4,4,,55
UCF,09/16/2023,Villanova,W 48-14,2,2,,41
UCF,09/23/2023,@ Kansas St.,L 31-44,1,2,,29
UCF,09/30/2023,Baylor,L 35-36,,2,1,
UCF,10/07/2023,@ Kansas,L 22-51,,,,
UCF,10/21/2023,@ Oklahoma,L 29-31,3,3,,48
UCF,10/28/2023,West Virginia,L 28-41,,,,
UCF,11/04/2023,@ Cincinnati,W 28-26,,1,,
UCF,11/11/2023,Oklahoma St.,W 45-3,1,1,,30
UCF,11/18/2023,@ Texas Tech,L 23-24,1,2,,24
UCF,11/25/2023,Houston,W 27-13,,2,1,
UCF,12/22/2023,"Georgia Tech @Tampa, FL",L 17-30,1,2,,27
