TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
UCF,08/31/2023,Kent St.,W 56-6,9,581,6,,,,351,
UCF,09/09/2023,@ Boise St.,W 18-16,5,300,3,2,,50,197,
UCF,09/16/2023,Villanova,W 48-14,10,583,5,,,,440,
UCF,09/23/2023,@ Kansas St.,L 31-44,6,345,2,3,,95,245,
UCF,09/30/2023,Baylor,L 35-36,6,379,2,4,,67,239,
UCF,10/07/2023,@ Kansas,L 22-51,3,192,2,,,,99,
UCF,10/21/2023,@ Oklahoma,L 29-31,6,395,4,2,,27,254,
UCF,10/28/2023,West Virginia,L 28-41,4,187,1,1,,18,143,
UCF,11/04/2023,@ Cincinnati,W 28-26,5,277,2,1,,14,204,
UCF,11/11/2023,Oklahoma St.,W 45-3,8,487,4,,,,283,
UCF,11/18/2023,@ Texas Tech,L 23-24,5,282,2,,,,161,
UCF,11/25/2023,Houston,W 27-13,5,325,5,1,,,200,
UCF,12/22/2023,"Georgia Tech @Tampa, FL",L 17-30,4,242,,3,,99,147,
