TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
UCF,08/31/2023,Kent St.,W 56-6,,5,1,,6.00
UCF,09/09/2023,@ Boise St.,W 18-16,1,2,1,,3.00
UCF,09/16/2023,Villanova,W 48-14,42,1,1,,2.00
UCF,09/23/2023,@ Kansas St.,L 31-44,3,4,1,,5.00
UCF,09/30/2023,Baylor,L 35-36,,6,,,6.00
UCF,10/07/2023,@ Kansas,L 22-51,,1,,,1.00
UCF,10/21/2023,@ Oklahoma,L 29-31,27,3,1,,4.00
UCF,10/28/2023,West Virginia,L 28-41,,3,,,3.00
UCF,11/04/2023,@ Cincinnati,W 28-26,24,1,1,,2.00
UCF,11/11/2023,Oklahoma St.,W 45-3,10,9,3,,12.00/
UCF,11/18/2023,@ Texas Tech,L 23-24,28,2,1,,3.00
UCF,11/25/2023,Houston,W 27-13,,,1,,1.00
UCF,12/22/2023,"Georgia Tech @Tampa, FL",L 17-30,,,1,,1.00
