TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
UCF,08/31/2023,Kent St.,W 56-6,35,25,2,334,3,168.45,25.00,13.360,0.714,334.00
UCF,09/09/2023,@ Boise St.,W 18-16,24,16,2,272,,145.20,16.00,17.000,0.667,272.00
UCF,09/16/2023,Villanova,W 48-14,33,24,,349,2,181.56,24.00,14.542,0.727,349.00
UCF,09/23/2023,@ Kansas St.,L 31-44,25,14,1,264,3,176.30,14.00,18.857,0.560,264.00
UCF,09/30/2023,Baylor,L 35-36,26,13,1,234,2,143.29,13.00,18.000,0.500,234.00
UCF,10/07/2023,@ Kansas,L 22-51,23,15,,169,2,155.63,15.00,11.267,0.652,169.00
UCF,10/21/2023,@ Oklahoma,L 29-31,30,16,,248,2,144.77,16.00,15.500,0.533,248.00
UCF,10/28/2023,West Virginia,L 28-41,36,25,3,274,3,144.21,25.00,10.960,0.694,274.00
UCF,11/04/2023,@ Cincinnati,W 28-26,23,13,,165,,116.78,13.00,12.692,0.565,165.00
UCF,11/11/2023,Oklahoma St.,W 45-3,19,12,,299,3,247.45,12.00,24.917,0.632,299.00
UCF,11/18/2023,@ Texas Tech,L 23-24,32,16,1,248,1,119.16,16.00,15.500,0.500,248.00
UCF,11/25/2023,Houston,W 27-13,27,23,,253,1,176.12,23.00,11.000,0.852,253.00
UCF,12/22/2023,"Georgia Tech @Tampa, FL",L 17-30,33,17,1,255,2,130.36,17.00,15.000,0.515,255.00
