TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
UCF,08/31/2023,Kent St.,W 56-6,,1,42,42.0,,42,42
UCF,09/09/2023,@ Boise St.,W 18-16,1,2,93,46.5,,54,86
UCF,09/16/2023,Villanova,W 48-14,1,3,144,48.0,1,52,111
UCF,09/23/2023,@ Kansas St.,L 31-44,1,2,78,39.0,,42,78
UCF,09/30/2023,Baylor,L 35-36,,2,68,34.0,,49,50
UCF,10/07/2023,@ Kansas,L 22-51,1,4,148,37.0,,42,66
UCF,10/21/2023,@ Oklahoma,L 29-31,1,7,273,39.0,,49,249
UCF,10/28/2023,West Virginia,L 28-41,,1,36,36.0,,36,36
UCF,11/04/2023,@ Cincinnati,W 28-26,1,4,172,43.0,,64,172
UCF,11/11/2023,Oklahoma St.,W 45-3,1,3,133,44.3,,45,133
UCF,11/18/2023,@ Texas Tech,L 23-24,2,3,131,43.7,,50,124
UCF,11/25/2023,Houston,W 27-13,,1,33,33.0,1,33,13
UCF,12/22/2023,"Georgia Tech @Tampa, FL",L 17-30,,3,134,44.7,,47,120
