TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
UCF,08/31/2023,Kent St.,W 56-6,25,334,25.00,13.36,3,334.00,50
UCF,09/09/2023,@ Boise St.,W 18-16,16,272,16.00,17.00,,272.00,53
UCF,09/16/2023,Villanova,W 48-14,24,349,24.00,14.54,2,349.00,58
UCF,09/23/2023,@ Kansas St.,L 31-44,14,264,14.00,18.86,3,264.00,69
UCF,09/30/2023,Baylor,L 35-36,13,234,13.00,18.00,2,234.00,65
UCF,10/07/2023,@ Kansas,L 22-51,15,169,15.00,11.27,2,169.00,41
UCF,10/21/2023,@ Oklahoma,L 29-31,16,248,16.00,15.50,2,248.00,86/
UCF,10/28/2023,West Virginia,L 28-41,25,274,25.00,10.96,3,274.00,34
UCF,11/04/2023,@ Cincinnati,W 28-26,13,165,13.00,12.69,,165.00,40
UCF,11/11/2023,Oklahoma St.,W 45-3,12,299,12.00,24.92,3,299.00,75
UCF,11/18/2023,@ Texas Tech,L 23-24,16,248,16.00,15.50,1,248.00,71
UCF,11/25/2023,Houston,W 27-13,23,253,23.00,11.00,1,253.00,57
UCF,12/22/2023,"Georgia Tech @Tampa, FL",L 17-30,17,255,17.00,15.00,2,255.00,57
