TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
UCF,08/31/2023,Kent St.,W 56-6,6,7,42,4,2,,,,1,,,
UCF,09/09/2023,@ Boise St.,W 18-16,2,5,9,1,,1,1,,2/,1,,
UCF,09/16/2023,Villanova,W 48-14,5,6,27,3,,2,2,,,,,1/
UCF,09/23/2023,@ Kansas St.,L 31-44,2,2,10,1,,1,1,,,,,
UCF,09/30/2023,Baylor,L 35-36,2,3,15,1,1,,1,,,,,
UCF,10/07/2023,@ Kansas,L 22-51,2,2,13,1,1,,,,,,,
UCF,10/21/2023,@ Oklahoma,L 29-31,3,3,16,1,1,1,1,,,,,
UCF,10/28/2023,West Virginia,L 28-41,3,3,21,1,2,,,,,,,
UCF,11/04/2023,@ Cincinnati,W 28-26,3,3,21,3,,,,,,,,
UCF,11/11/2023,Oklahoma St.,W 45-3,5,5,31,2,2,1,1,,,,,
UCF,11/18/2023,@ Texas Tech,L 23-24,3,5,17,2,,1,2,,,,1/,
UCF,11/25/2023,Houston,W 27-13,2,4,13,2,,,1,,,,,1/
UCF,12/22/2023,"Georgia Tech @Tampa, FL",L 17-30,2,5,10,,1,1,2,,,2/,,
