TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
UCF,08/31/2023,Kent St.,W 56-6,46,389,394,5,8.46,5,389.00,48
UCF,09/09/2023,@ Boise St.,W 18-16,41,258,271,13,6.29,1,258.00,39
UCF,09/16/2023,Villanova,W 48-14,54,251,284,33,4.65,4,251.00,24
UCF,09/23/2023,@ Kansas St.,L 31-44,34,143,179,36,4.21,1,143.00,48
UCF,09/30/2023,Baylor,L 35-36,35,235,250,15,6.71,2,235.00,79
UCF,10/07/2023,@ Kansas,L 22-51,38,202,244,42,5.32,1,202.00,53
UCF,10/21/2023,@ Oklahoma,L 29-31,41,149,189,40,3.63,1,149.00,54
UCF,10/28/2023,West Virginia,L 28-41,33,189,200,11,5.73,1,189.00,29
UCF,11/04/2023,@ Cincinnati,W 28-26,39,228,242,14,5.85,4,228.00,27
UCF,11/11/2023,Oklahoma St.,W 45-3,51,293,315,22,5.75,3,293.00,92/
UCF,11/18/2023,@ Texas Tech,L 23-24,40,238,241,3,5.95,2,238.00,24
UCF,11/25/2023,Houston,W 27-13,43,223,245,22,5.19,3,223.00,32
UCF,12/22/2023,"Georgia Tech @Tampa, FL",L 17-30,34,169,194,25,4.97,,169.00,27
