TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
UCF,08/31/2023,Kent St.,W 56-6,30,38,5,4,25,68
UCF,09/09/2023,@ Boise St.,W 18-16,44,12,7,2,28,56
UCF,09/16/2023,Villanova,W 48-14,21,28,6,,23,49
UCF,09/23/2023,@ Kansas St.,L 31-44,51,12,1,2,9,63
UCF,09/30/2023,Baylor,L 35-36,48,28,7,,55,76
UCF,10/07/2023,@ Kansas,L 22-51,47,10,5,,26,57
UCF,10/21/2023,@ Oklahoma,L 29-31,51,32,5,2,29,83
UCF,10/28/2023,West Virginia,L 28-41,45,26,2,,11,71
UCF,11/04/2023,@ Cincinnati,W 28-26,40,40,5,8,34,80
UCF,11/11/2023,Oklahoma St.,W 45-3,33,22,4,,17,55
UCF,11/18/2023,@ Texas Tech,L 23-24,41,14,1,2,6,55
UCF,11/25/2023,Houston,W 27-13,29,26,5,4,40,55
UCF,12/22/2023,"Georgia Tech @Tampa, FL",L 17-30,49,24,2,8,13,73
