TeamNM,Date,Opponent,Result,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G
UCF,08/31/2023,Kent St.,W 56-6,723/,8.93,12,1,9,31:26,81,723/,8.93,17,13,2,7,7.00,70,70.00,
UCF,09/09/2023,@ Boise St.,W 18-16,530,8.15,10,1,4,28:03,65,530,8.15,12,9,2,4,4.00,25,25.00,
UCF,09/16/2023,Villanova,W 48-14,600,6.90,15,3,7,32:52,87,600,6.90,17,14,,7,7.00,43,43.00,
UCF,09/23/2023,@ Kansas St.,L 31-44,407,6.90,12,2,5,25:37,59,407,6.90,6,10,3,10,10.00,80,80.00,
UCF,09/30/2023,Baylor,L 35-36,469,7.69,13,2,5,24:29,61,469,7.69,9,8,1,7,7.00,74,74.00,
UCF,10/07/2023,@ Kansas,L 22-51,371,6.08,12,1,7,25:37,61,371,6.08,13,8,,5,5.00,40,40.00,
UCF,10/21/2023,@ Oklahoma,L 29-31,397,5.59,15,1,4,30:16,71,397,5.59,8,9,3,7,7.00,51,51.00,
UCF,10/28/2023,West Virginia,L 28-41,463,6.71,12,2,9,23:54,69,463,6.71,11,15,1,6,6.00,56,56.00,
UCF,11/04/2023,@ Cincinnati,W 28-26,393,6.34,12,1,6,27:03,62,393,6.34,13,7,3,3,3.00,20,20.00,
UCF,11/11/2023,Oklahoma St.,W 45-3,592,8.46,12,2,6,34:45,70,592,8.46,11,8,2,4,4.00,40,40.00,
UCF,11/18/2023,@ Texas Tech,L 23-24,486,6.75,14,1,8,31:57,72,486,6.75,11,10,2,8,8.00,64,64.00,
UCF,11/25/2023,Houston,W 27-13,476,6.80,13,3,6,32:56,70,476,6.80,12,10,1,4,4.00,34,34.00,
UCF,12/22/2023,"Georgia Tech @Tampa, FL",L 17-30,424,6.33,14,3,7,26:30,67,424,6.33,7,11,1,7,7.00,54,54.00,
