TeamNM,Date,Opponent,Result,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays
Utah,08/31/2023,Florida,W 24-11,2,165,1,,5,16,293,,50
Utah,09/09/2023,@ Baylor,W 20-13,9,153,2,,28,24,438,,64
Utah,09/16/2023,Weber St.,W 31-7,23,193,1,,9,53,509,,71
Utah,09/23/2023,UCLA,W 14-7,21,117,1,,12,,252,,63
Utah,09/29/2023,@ Oregon St.,L 7-21,1,141,1,,-1,15,213,,48
Utah,10/14/2023,California,W 34-14,2,128,1,,5,21,473,,72
Utah,10/21/2023,@ Southern California,W 34-32,,235,,,6,103,591,,66
Utah,10/28/2023,Oregon,L 6-35,,142,,,13,65,319,,56
Utah,11/04/2023,Arizona St.,W 55-3,24,161,1,,20,46,603,,73
Utah,11/11/2023,@ Washington,L 28-35,,267,,,,55,437,,48
Utah,11/18/2023,@ Arizona,L 18-42,,320,,,,,438,,68
Utah,11/25/2023,Colorado,W 23-17,,61,,,11,27,367,,63
Utah,12/23/2023,"Northwestern @Las Vegas, NV",L 7-14,,73,,,3,,214,,62
