TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
Utah,08/31/2023,Florida,W 24-11,23,15,,165,1.0,139.83,15.0,11.0,0.652,165.0,30,105,137,32,3.5,2.0,105.0,27,15,165,15.0,11.0,1.0,165.0,70,270,5.09,13,,3,28:04,53,270,5.09,7,5,1.0,5,5.0,37,37.0,,2.0,165,1.0,,5.0,16.0,293,,50,3.0,3.0,3.0,,,,,,,,1.0,,24,5.0,,47.0,5.0,37,30,6,2,50,67,2.0,4.0,1.0,,5.0,1,,,,1.0,2.0,,51.0,3,6,311,51.8,1.0,64,286,3.0,,5.0,5,324,3.0,1.0,,16.0,202,,1.0,1,7.0,1.0,,,,,,,,,,1.0,,,,1.0,
Utah,09/09/2023,@ Baylor,W 20-13,26,12,1.0,153,,87.89,12.0,12.75,0.462,153.0,47,224,236,12,4.77,2.0,224.0,44,12,153,12.0,12.75,,153.0,22,377,5.16,17,1.0,8,36:17,73,377,5.16,11,9,,7,7.0,59,59.0,,9.0,153,2.0,,28.0,24.0,438,,64,2.0,2.0,2.0,,,,,,,,2.0,,20,,,,,34,12,3,,7,46,9.0,4.0,2.0,,6.0,,,,,2.0,2.0,,46.0,3,4,182,45.5,1.0,56,162,2.0,,28.0,5,293,1.0,1.0,,24.0,216,,3.0,3,17.0,2.0,,1.0,1.0,,,,,,,2.0,,,,2.0,1.0
Utah,09/16/2023,Weber St.,W 31-7,21,13,,193,1.0,154.82,13.0,14.846,0.619,193.0,52,231,250,19,4.44,2.0,231.0,21,13,193,13.0,14.85,1.0,193.0,49,424,5.81,15,4.0,6,40:05,73,424,5.81,15,7,1.0,5,5.0,35,35.0,,23.0,193,1.0,,9.0,53.0,509,,71,4.0,4.0,4.0,,,,,,,,1.0,,31,2.0,,13.0,2.0,20,26,5,2,24,46,23.0,3.0,1.0,1/,4.0,1,,,,1.0,1.0,,37.0,1,3,141,47.0,,60,131,3.0,,9.0,6,361,1.0,2.0,,53.0,199,,4.0,5,24.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,1.0,
Utah,09/23/2023,UCLA,W 14-7,17,9,,117,1.0,130.16,9.0,13.0,0.529,117.0,48,102,165,63,2.13,,102.0,16,9,117,9.0,13.0,1.0,117.0,35,219,3.37,17,1.0,6,34:28,65,219,3.37,6,7,,4,4.0,30,30.0,,21.0,117,1.0,,12.0,,252,,63,2.0,2.0,2.0,,,,,,,,,,14,6.0,2.0,58.0,7.0,31,34,8,6,70,65,21.0,4.0,1.0,1/,5.0,3/,,,,,1.0,,,6/,8,352,44.0,,54,346,5.0,,12.0,3,189,1.0,,,,128,,1.0,2,7.0,,1.0,,,,,,,1/,1.0,1.0,,1.0,1.0,1.0,
Utah,09/29/2023,@ Oregon St.,L 7-21,31,13,1.0,141,1.0,84.34,13.0,10.846,0.419,141.0,32,57,102,45,1.78,,57.0,20,13,141,13.0,10.85,1.0,141.0,41,198,3.14,13,4.0,2,28:54,63,198,3.14,5,5,4.0,4,4.0,20,20.0,,1.0,141,1.0,,-1.0,15.0,213,,48,1.0,1.0,1.0,,,,,,,,,,7,3.0,,22.0,3.0,26,36,7,12/,45,62,1.0,3.0,1.0,,4.0,,,,,,,,,2,6,262,43.7,,52,255,1.0,,-1.0,2,82,1.0,1.0,,15.0,57,,,1,,,,,,,1.0,,,,,1.0,,,,1.0,1.0
Utah,10/14/2023,California,W 34-14,22,15,,128,,117.05,15.0,8.533,0.682,128.0,53,317,321,4,5.98,4.0,317.0,72/,15,128,15.0,8.53,,128.0,41,445,5.93,17,2.0,10,37:53,75,445,5.93,15,5,1.0,3,3.0,38,38.0,,2.0,128,1.0,,5.0,21.0,473,,72,4.0,4.0,4.0,,,,,,,,2.0,,34,3.0,4.0,40.0,5.0,24,32,4,4,44,56,2.0,5.0,1.0,,6.0,1,,,,2.0,3.0,,38.0,1,2,77,38.5,,40,77,2.0,,5.0,7,432,,1.0,,21.0,385,,5.0,6,27.0,3.0,,2.0,3.0,,,,,,1.0,1.0,,1.0,,1.0,
Utah,10/21/2023,@ Southern California,W 34-32,23,14,1.0,235,3.0,181.04,14.0,16.786,0.609,235.0,47,247,275,28,5.26,1.0,247.0,26,14,235,14.0,16.79,3.0,235.0,53,482,6.89,12,3.0,3,34:42,70,482,6.89,12,8,3.0,8,8.0,50,50.0,,,235,,,6.0,103.0,591,,66,4.0,4.0,4.0,,,,,,,,2.0,,34,3.0,,14.0,3.0,38,18,4,,18,56,,3.0,,,3.0,1,,,,2.0,2.0,,38.0,2,4,181,45.3,,54,122,1.0,,6.0,6,375,1.0,4.0,,103.0,257,,5.0,6,27.0,1.0,2.0,2.0,2.0,,,1.0,,,1.0,,,1.0,,,1.0
Utah,10/28/2023,Oregon,L 6-35,30,16,2.0,142,,79.76,16.0,8.875,0.533,142.0,36,99,121,22,2.75,,99.0,14,16,142,16.0,8.88,,142.0,18,241,3.65,15,3.0,5,31:57,66,241,3.65,5,7,1.0,3,3.0,25,25.0,,,142,,,13.0,65.0,319,,56,,,,,,,,,,,2.0,,6,,,,,33,28,1,,4,61,,2.0,,,2.0,1,,,,2.0,2.0,,32.0,1,5,245,49.0,1.0,56,225,2.0,,13.0,2,130,2.0,2.0,,65.0,80,,2.0,2,6.0,,,2.0,2.0,,,,,,1.0,,,1.0,,,2.0
Utah,11/04/2023,Arizona St.,W 55-3,28,19,,161,4.0,163.3,19.0,8.474,0.679,161.0,49,352,370,18,7.18,3.0,352.0,59,19,161,19.0,8.47,4.0,161.0,20,513,6.66,17,2.0,10,36:33,77,513,6.66,13,11,2.0,6,6.0,50,50.0,,24.0,161,1.0,,20.0,46.0,603,,73,7.0,7.0,7.0,,,,,,,,2.0,,55,4.0,,26.0,4.0,23,36,6,,34,59,24.0,6.0,1.0,,7.0,,,,,2.0,3.0,,43.0,1,2,97,48.5,,55,97,2.0,,20.0,10,642,5.0,2.0,,46.0,507,,6.0,7,34.0,,4.0,2.0,3.0,,,,,,,1.0,,,,1.0,
Utah,11/11/2023,@ Washington,L 28-35,30,17,2.0,267,2.0,140.09,17.0,15.706,0.567,267.0,27,115,127,12,4.26,2.0,115.0,15,17,267,17.0,15.71,2.0,267.0,68,382,6.7,11,1.0,5,25:02,57,382,6.7,8,6,3.0,8,8.0,97,97.0,,,267,,,,55.0,437,,48,4.0,4.0,4.0,,,,,,,,,,28,1.0,,10.0,1.0,44,20,3,,17,64,,1.0,,,1.0,,,,,,,,,,5,206,41.2,,51,202,,,,6,350,1.0,4.0,,55.0,211,,3.0,4,21.0,2.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,2.0
