TeamNM,Date,Opponent,Result,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds
Utah,08/31/2023,Florida,W 24-11,5,324,3,1,,16,202,
Utah,09/09/2023,@ Baylor,W 20-13,5,293,1,1,,24,216,
Utah,09/16/2023,Weber St.,W 31-7,6,361,1,2,,53,199,
Utah,09/23/2023,UCLA,W 14-7,3,189,1,,,,128,
Utah,09/29/2023,@ Oregon St.,L 7-21,2,82,1,1,,15,57,
Utah,10/14/2023,California,W 34-14,7,432,,1,,21,385,
Utah,10/21/2023,@ Southern California,W 34-32,6,375,1,4,,103,257,
Utah,10/28/2023,Oregon,L 6-35,2,130,2,2,,65,80,
Utah,11/04/2023,Arizona St.,W 55-3,10,642,5,2,,46,507,
Utah,11/11/2023,@ Washington,L 28-35,6,350,1,4,,55,211,
Utah,11/18/2023,@ Arizona,L 18-42,3,195,3,,,,120,
Utah,11/25/2023,Colorado,W 23-17,6,366,3,3,,27,239,
Utah,12/23/2023,"Northwestern @Las Vegas, NV",L 7-14,2,130,1,,,,83,
