TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
Utah,08/31/2023,Florida,W 24-11,2,4,1,,5.00
Utah,09/09/2023,@ Baylor,W 20-13,9,4,2,,6.00
Utah,09/16/2023,Weber St.,W 31-7,23,3,1,1/,4.00
Utah,09/23/2023,UCLA,W 14-7,21,4,1,1/,5.00
Utah,09/29/2023,@ Oregon St.,L 7-21,1,3,1,,4.00
Utah,10/14/2023,California,W 34-14,2,5,1,,6.00
Utah,10/21/2023,@ Southern California,W 34-32,,3,,,3.00
Utah,10/28/2023,Oregon,L 6-35,,2,,,2.00
Utah,11/04/2023,Arizona St.,W 55-3,24,6,1,,7.00
Utah,11/11/2023,@ Washington,L 28-35,,1,,,1.00
Utah,11/18/2023,@ Arizona,L 18-42,,4,,,4.00
Utah,11/25/2023,Colorado,W 23-17,,,,,
Utah,12/23/2023,"Northwestern @Las Vegas, NV",L 7-14,,3,,,3.00
