TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G
Utah,08/31/2023,Florida,W 24-11,23,15,,165,1,139.83,15.00,11.000,0.652,165.00
Utah,09/09/2023,@ Baylor,W 20-13,26,12,1,153,,87.89,12.00,12.750,0.462,153.00
Utah,09/16/2023,Weber St.,W 31-7,21,13,,193,1,154.82,13.00,14.846,0.619,193.00
Utah,09/23/2023,UCLA,W 14-7,17,9,,117,1,130.16,9.00,13.000,0.529,117.00
Utah,09/29/2023,@ Oregon St.,L 7-21,31,13,1,141,1,84.34,13.00,10.846,0.419,141.00
Utah,10/14/2023,California,W 34-14,22,15,,128,,117.05,15.00,8.533,0.682,128.00
Utah,10/21/2023,@ Southern California,W 34-32,23,14,1,235,3,181.04,14.00,16.786,0.609,235.00
Utah,10/28/2023,Oregon,L 6-35,30,16,2,142,,79.76,16.00,8.875,0.533,142.00
Utah,11/04/2023,Arizona St.,W 55-3,28,19,,161,4,163.30,19.00,8.474,0.679,161.00
Utah,11/11/2023,@ Washington,L 28-35,30,17,2,267,2,140.09,17.00,15.706,0.567,267.00
Utah,11/18/2023,@ Arizona,L 18-42,53,31,2,320,2,114.11,31.00,10.323,0.585,320.00
Utah,11/25/2023,Colorado,W 23-17,10,6,,61,,111.24,6.00,10.167,0.600,61.00
Utah,12/23/2023,"Northwestern @Las Vegas, NV",L 7-14,14,9,2,73,,79.51,9.00,8.111,0.643,73.00
