TeamNM,Date,Opponent,Result,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds
Utah,08/31/2023,Florida,W 24-11,3,6,311,51.8,1,64,286
Utah,09/09/2023,@ Baylor,W 20-13,3,4,182,45.5,1,56,162
Utah,09/16/2023,Weber St.,W 31-7,1,3,141,47.0,,60,131
Utah,09/23/2023,UCLA,W 14-7,6/,8,352,44.0,,54,346
Utah,09/29/2023,@ Oregon St.,L 7-21,2,6,262,43.7,,52,255
Utah,10/14/2023,California,W 34-14,1,2,77,38.5,,40,77
Utah,10/21/2023,@ Southern California,W 34-32,2,4,181,45.3,,54,122
Utah,10/28/2023,Oregon,L 6-35,1,5,245,49.0,1,56,225
Utah,11/04/2023,Arizona St.,W 55-3,1,2,97,48.5,,55,97
Utah,11/11/2023,@ Washington,L 28-35,,5,206,41.2,,51,202
Utah,11/18/2023,@ Arizona,L 18-42,,3,106,35.3,1,59,82
Utah,11/25/2023,Colorado,W 23-17,,1,50,50.0,,50,31
Utah,12/23/2023,"Northwestern @Las Vegas, NV",L 7-14,,7,293,41.9,,55,269
