TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
Utah,08/31/2023,Florida,W 24-11,15,165,15.00,11.00,1,165.00,70
Utah,09/09/2023,@ Baylor,W 20-13,12,153,12.00,12.75,,153.00,22
Utah,09/16/2023,Weber St.,W 31-7,13,193,13.00,14.85,1,193.00,49
Utah,09/23/2023,UCLA,W 14-7,9,117,9.00,13.00,1,117.00,35
Utah,09/29/2023,@ Oregon St.,L 7-21,13,141,13.00,10.85,1,141.00,41
Utah,10/14/2023,California,W 34-14,15,128,15.00,8.53,,128.00,41
Utah,10/21/2023,@ Southern California,W 34-32,14,235,14.00,16.79,3,235.00,53
Utah,10/28/2023,Oregon,L 6-35,16,142,16.00,8.88,,142.00,18
Utah,11/04/2023,Arizona St.,W 55-3,19,161,19.00,8.47,4,161.00,20
Utah,11/11/2023,@ Washington,L 28-35,17,267,17.00,15.71,2,267.00,68
Utah,11/18/2023,@ Arizona,L 18-42,31,320,31.00,10.32,2,320.00,28
Utah,11/25/2023,Colorado,W 23-17,6,61,6.00,10.17,,61.00,18
Utah,12/23/2023,"Northwestern @Las Vegas, NV",L 7-14,9,73,9.00,8.11,,73.00,18
