TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
Utah,08/31/2023,Florida,W 24-11,1,1,7,1,,,,,,,,
Utah,09/09/2023,@ Baylor,W 20-13,3,3,17,2,,1,1,,,,,
Utah,09/16/2023,Weber St.,W 31-7,4,5,24,2,1,1,1,,,1,,
Utah,09/23/2023,UCLA,W 14-7,1,2,7,,1,,,,,,,1/
Utah,09/29/2023,@ Oregon St.,L 7-21,,1,,,,,,,1,,,
Utah,10/14/2023,California,W 34-14,5,6,27,3,,2,3,,,,,
Utah,10/21/2023,@ Southern California,W 34-32,5,6,27,1,2,2,2,,,1,,
Utah,10/28/2023,Oregon,L 6-35,2,2,6,,,2,2,,,,,
Utah,11/04/2023,Arizona St.,W 55-3,6,7,34,,4,2,3,,,,,
Utah,11/11/2023,@ Washington,L 28-35,3,4,21,2,1,,,,1,,,
Utah,11/18/2023,@ Arizona,L 18-42,3,5,18,,2,1,1,,1,1,,
Utah,11/25/2023,Colorado,W 23-17,5,5,23,2,,3,3,,,,,
Utah,12/23/2023,"Northwestern @Las Vegas, NV",L 7-14,1,1,7,1,,,,,,,,
