TeamNM,Date,Opponent,Result,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks
Utah,08/31/2023,Florida,W 24-11,5,,47,5.0
Utah,09/09/2023,@ Baylor,W 20-13,,,,
Utah,09/16/2023,Weber St.,W 31-7,2,,13,2.0
Utah,09/23/2023,UCLA,W 14-7,6,2,58,7.0
Utah,09/29/2023,@ Oregon St.,L 7-21,3,,22,3.0
Utah,10/14/2023,California,W 34-14,3,4,40,5.0
Utah,10/21/2023,@ Southern California,W 34-32,3,,14,3.0
Utah,10/28/2023,Oregon,L 6-35,,,,
Utah,11/04/2023,Arizona St.,W 55-3,4,,26,4.0
Utah,11/11/2023,@ Washington,L 28-35,1,,10,1.0
Utah,11/18/2023,@ Arizona,L 18-42,1,,10,1.0
Utah,11/25/2023,Colorado,W 23-17,2,,15,2.0
Utah,12/23/2023,"Northwestern @Las Vegas, NV",L 7-14,1,4,15,3.0
