TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
Utah,08/31/2023,Florida,W 24-11,3,3,3,,,,,,,,1,,24
Utah,09/09/2023,@ Baylor,W 20-13,2,2,2,,,,,,,,2,,20
Utah,09/16/2023,Weber St.,W 31-7,4,4,4,,,,,,,,1,,31
Utah,09/23/2023,UCLA,W 14-7,2,2,2,,,,,,,,,,14
Utah,09/29/2023,@ Oregon St.,L 7-21,1,1,1,,,,,,,,,,7
Utah,10/14/2023,California,W 34-14,4,4,4,,,,,,,,2,,34
Utah,10/21/2023,@ Southern California,W 34-32,4,4,4,,,,,,,,2,,34
Utah,10/28/2023,Oregon,L 6-35,,,,,,,,,,,2,,6
Utah,11/04/2023,Arizona St.,W 55-3,7,7,7,,,,,,,,2,,55
Utah,11/11/2023,@ Washington,L 28-35,4,4,4,,,,,,,,,,28
Utah,11/18/2023,@ Arizona,L 18-42,2,1,1,1,1,,,,,,1,,18
Utah,11/25/2023,Colorado,W 23-17,2,2,2,,,,,,,,3,,23
Utah,12/23/2023,"Northwestern @Las Vegas, NV",L 7-14,1,1,1,,,,,,,,,,7
