TeamNM,Date,Opponent,Result,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles
Utah,08/31/2023,Florida,W 24-11,37,30,6,2,50,67
Utah,09/09/2023,@ Baylor,W 20-13,34,12,3,,7,46
Utah,09/16/2023,Weber St.,W 31-7,20,26,5,2,24,46
Utah,09/23/2023,UCLA,W 14-7,31,34,8,6,70,65
Utah,09/29/2023,@ Oregon St.,L 7-21,26,36,7,12/,45,62
Utah,10/14/2023,California,W 34-14,24,32,4,4,44,56
Utah,10/21/2023,@ Southern California,W 34-32,38,18,4,,18,56
Utah,10/28/2023,Oregon,L 6-35,33,28,1,,4,61
Utah,11/04/2023,Arizona St.,W 55-3,23,36,6,,34,59
Utah,11/11/2023,@ Washington,L 28-35,44,20,3,,17,64
Utah,11/18/2023,@ Arizona,L 18-42,35,22,6,2,24,57
Utah,11/25/2023,Colorado,W 23-17,21,28,2,,15,49
Utah,12/23/2023,"Northwestern @Las Vegas, NV",L 7-14,32,42,2,8,19,74
